"","genes","logFC","logCPM","LR","PValue","FDR"
"11374","ENSGMOG00000011704",-0.822711362247365,5.9162831247735,37.0407661288259,1.15685123884213e-09,4.98752155068553e-07
"10771","ENSGMOG00000011089",-1.28592099442354,4.64465401958148,36.6563292320662,1.4090079971928e-09,5.88480996327554e-07
"1145","ENSGMOG00000001191",-0.770009872277402,8.50262690488705,36.3286862750277,1.66692198959887e-09,6.68944839284022e-07
"18637","ENSGMOG00000019139",-0.867780793040195,7.62809229025252,36.2883652781287,1.70176764202445e-09,6.68944839284022e-07
"8056","ENSGMOG00000008302",-1.25729700129635,7.17313488984037,36.0582785890961,1.91503459588722e-09,7.31269639258077e-07
"4579","ENSGMOG00000004724",-0.982022402421244,7.03272099538288,35.8435611006669,2.13813484743031e-09,7.93782562108502e-07
"5143","ENSGMOG00000005310",-1.07914713724029,6.32435786784424,35.7640130681679,2.22724182987889e-09,8.04515866387335e-07
"870","ENSGMOG00000000905",-1.41175031816685,4.42899720270475,34.6495745184404,3.94724835809405e-09,1.38828879752439e-06
"9846","ENSGMOG00000010144",-0.877674279872347,6.23900324347192,34.484955209672,4.29558737933412e-09,1.47206475191796e-06
"13387","ENSGMOG00000013765",-0.959860692204902,5.09005616042656,34.3833637490428,4.52575239916425e-09,1.51216702037075e-06
"15661","ENSGMOG00000016090",0.578230991856367,9.08833400117199,33.9810805805353,5.56505759999981e-09,1.81407304448774e-06
"8770","ENSGMOG00000009030",-0.97914607586801,5.60078675780785,33.6497558953284,6.59831582405362e-09,2.09967835686849e-06
"3589","ENSGMOG00000003708",-0.765201073144921,6.06366915125888,33.4860178218534,7.17781464002338e-09,2.23096494567238e-06
"9450","ENSGMOG00000009732",-1.05595447841288,5.29693468541555,33.2817032021533,7.97292732104094e-09,2.42177667376618e-06
"12897","ENSGMOG00000013262",-0.763915202745514,7.07012947157265,33.1606138887932,8.48519396717101e-09,2.52010260824979e-06
"7645","ENSGMOG00000007883",-0.765010008421679,6.52748647385826,32.9838653925805,9.292686752694e-09,2.69992953151642e-06
"11730","ENSGMOG00000012073",-1.5709889739464,3.98781114966184,32.8158898260976,1.01313297770977e-08,2.88096218023216e-06
"19066","ENSGMOG00000019580",-1.09852486210153,5.4991847288512,32.6490110985347,1.10395569779508e-08,3.0605061924278e-06
"10306","ENSGMOG00000010614",-1.05137865265959,4.91236171014252,32.6173758698828,1.12207110683847e-08,3.0605061924278e-06
"18407","ENSGMOG00000018907",0.700486829702997,9.69629377540309,32.5663739634998,1.15190559629348e-08,3.07904365889248e-06
"12270","ENSGMOG00000012627",-1.13845254611212,5.77106070795032,32.4634482159549,1.2145555255626e-08,3.18284992140081e-06
"9431","ENSGMOG00000009713",-1.34444660746028,4.04030955738533,32.4169603403445,1.2439602780697e-08,3.19721713776953e-06
"13450","ENSGMOG00000013831",-0.864567192621302,5.90400225729736,32.3422520099265,1.29271627628604e-08,3.25984019482319e-06
"2661","ENSGMOG00000002752",0.63348121951777,10.5203502886391,32.2499145483948,1.35563048832159e-08,3.35518545859592e-06
"7903","ENSGMOG00000008147",-0.694106181828837,6.39937533367751,32.1123555835207,1.45508964288988e-08,3.5358678322224e-06
"10583","ENSGMOG00000010899",-1.26366219889764,6.48650196045735,32.0732129177501,1.48470415594278e-08,3.54340554360272e-06
"15876","ENSGMOG00000016308",-1.01432025866342,7.0592226195535,32.0369856111144,1.51265066149313e-08,3.54676773523783e-06
"4336","ENSGMOG00000004476",-1.10275063176337,5.57630075277354,31.8844287307812,1.63623586396514e-08,3.77039522791278e-06
"8622","ENSGMOG00000008878",-2.64863782739375,3.31175585371909,31.8309454396282,1.68191585460785e-08,3.78181595664829e-06
"17242","ENSGMOG00000017702",-1.11602651458793,7.99013579839809,31.8127054576735,1.69778494125625e-08,3.78181595664829e-06
"14882","ENSGMOG00000015298",0.761433628570437,10.4893236625859,31.5576632393536,1.93604834212213e-08,4.24169167022326e-06
"15995","ENSGMOG00000016429",-0.769012410950412,5.34031055772157,31.5261605727874,1.96771330754839e-08,4.24169167022326e-06
"9890","ENSGMOG00000010188",-1.43788990492854,7.33840151487852,31.482491658266,2.01246702050598e-08,4.26930503635911e-06
"18128","ENSGMOG00000018619",-0.769820798215575,6.07813940147151,31.3469093611367,2.15801954930678e-08,4.5065517619508e-06
"6842","ENSGMOG00000007057",-1.3406037275576,5.30412103968888,30.9163283563968,2.69395660391141e-08,5.53918923250401e-06
"15664","ENSGMOG00000016093",-0.696512784713886,8.44278119710767,30.811580728715,2.84335946372036e-08,5.75780291403372e-06
"6437","ENSGMOG00000006640",-0.707459304145481,7.02961653181736,30.7288019872769,2.96727756240599e-08,5.87950226256478e-06
"5522","ENSGMOG00000005697",-1.72705434008198,5.84418439974159,30.7130643630775,2.99144148039211e-08,5.87950226256478e-06
"73","ENSGMOG00000000075",-0.628029869192905,7.19543311333611,30.622862227127,3.13379235191562e-08,6.07001953381917e-06
"7036","ENSGMOG00000007258",-0.995362022703944,5.35604265460277,30.4409541706715,3.44184530311518e-08,6.57146606801919e-06
"5625","ENSGMOG00000005801",-0.92134196914804,4.97691114135698,30.3011978061667,3.69897407642272e-08,6.88482009390893e-06
"17680","ENSGMOG00000018157",-0.876453407617999,6.15685011619168,30.2959507383126,3.70899398998461e-08,6.88482009390893e-06
"2801","ENSGMOG00000002898",-0.817777448748079,6.8276648592277,30.1202360254377,4.06071780763981e-08,7.43445116426111e-06
"9051","ENSGMOG00000009319",0.589949533191713,7.43838975656286,30.007601023657,4.30356052469774e-08,7.70031882590751e-06
"2112","ENSGMOG00000002189",-0.67908040939466,7.65551491398624,29.966055669809,4.39676109632498e-08,7.70031882590751e-06
"2151","ENSGMOG00000002230",-0.804754732631568,6.61986614124185,29.9568854556443,4.41760397598596e-08,7.70031882590751e-06
"3724","ENSGMOG00000003848",-1.18318446068578,6.08982438008438,29.9486539037783,4.43639767747758e-08,7.70031882590751e-06
"10891","ENSGMOG00000011215",5.74744039808846,0.600059561091875,29.9053078076621,4.53669200623602e-08,7.77344726453133e-06
