"","sample_SRR1039508","sample_SRR1039512","sample_SRR1039509","sample_SRR1039513"
"ENSG00000162591",784.955897848182,0,668.39558003552,1578.23705927064
"ENSG00000158109",3706.73618428308,0,2581.38982634408,4283.78630373459
"ENSG00000116213",632.325584377702,0,760.588073833522,547.551632808181
"ENSG00000227372",2027.8027361078,0,1175.45429592453,1610.44597884759
"ENSG00000162592",21.8043304957828,0,23.0481234495007,0
"ENSG00000235169",109.021652478914,0,23.0481234495007,0
"ENSG00000130764",1373.67282123432,0,1498.12802421754,1578.23705927064
"ENSG00000272153",21.8043304957828,0,23.0481234495007,0
"ENSG00000116198",1242.84683825962,0,1359.83928352054,1417.19246138588
"ENSG00000169598",174.434643966263,0,276.577481394008,225.462437038663
"ENSG00000198912",719.542906360833,0,645.347456586019,773.014069846844
"ENSG00000284703",21.8043304957828,0,23.0481234495007,0
"ENSG00000131697",741.347236856616,0,714.491826934521,193.253517461711
"ENSG00000069424",370.673618428308,0,507.058715889015,515.342713231229
"ENSG00000116251",20605.0923185148,0,19245.1830803331,18004.7860435161
"ENSG00000158286",152.63031347048,0,46.0962468990013,225.462437038663
"ENSG00000116237",5407.47396295414,0,0,6184.11255877475
"ENSG00000158292",1875.17242263732,0,0,708.59623069294
"ENSG00000097021",370.673618428308,0,0,1191.73002434722
"ENSG00000069812",43.6086609915657,0,0,32.2089195769518
"ENSG00000215788",0,0,23.0481234495007,64.4178391539036
"ENSG00000162408",21.8043304957828,0,0,547.551632808181
"ENSG00000162413",65.4129914873485,0,46.0962468990013,6506.20175454427
"ENSG00000116288",43.6086609915657,0,0,3736.23467092641
"ENSG00000284747",21.8043304957828,0,0,96.6267587308554
"ENSG00000131686",43.6086609915657,0,0,32.2089195769518
"ENSG00000180758",65.4129914873485,24.4967473943723,69.144370348502,193.253517461711
"ENSG00000049239",21.8043304957828,0,0,16941.8916974767
"ENSG00000284693",21.8043304957828,0,0,64.4178391539036
"ENSG00000171612",21.8043304957828,0,23.0481234495007,161.044597884759
"ENSG00000280113",0,0,23.0481234495007,32.2089195769518
"ENSG00000173614",0,0,23.0481234495007,740.805150269892
