"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_11","sample_17","sample_24","sample_30","sample_37","sample_50"
"ENSGMOG00000003382",722.221812885098,703.687288509975,380.315635983261,736.807740235084,633.027086640751,641.171759112756,290.700496655988,250.979267457968,700.997101876951,569.310250406675,761.413220686249,687.269746031268,601.457162159322,236.680983823708
"ENSGMOG00000020188",2.06319115674337,2.03832581792197,2.29447475613546,3.04129699184297,4.57528001283543,3.16673139325292,2.15499354119412,1.45123350830469,3.86267354518768,2.42023085713184,3.92424852465354,2.05450839575888,3.01042166669942,1.14124235436023
"ENSGMOG00000003406",31.01780603443,47.9185367722007,28.3071155307498,39.4511905561602,31.037710357343,22.8979039204442,33.4837203994973,32.3898493157858,29.0258705707745,31.659236077076,39.4604990534606,29.8637470383522,25.0241301044389,82.5498636320567
"ENSGMOG00000003429",22.1705625995813,15.9847656247565,34.7780499553565,8.13868209084739,10.7580908409914,19.7311725271912,9.29086838043125,17.625125796512,23.7565586825416,23.8098387025943,24.344875106647,6.78721523598915,13.1078776737537,14.0119200174228
"ENSGMOG00000003455",0.419632099676618,0.0357601020688065,0.0515612304749541,0.214175844495984,0.247312433126239,0.243594722557917,1.09782689834417,0.988521375222033,0.424224262188243,0.425175691117756,0,0,0.156792795140595,0.0634023530200129
"ENSGMOG00000003497",1.08404959083126,1.108563164133,1.0054439942616,0.856703377983936,1.05107784078652,1.00482823055141,0.386272427195173,0.504776872453804,1.11637963733748,0.55599898069245,0.617705786288057,1.02725419787944,0.783963975702974,2.53609412080051
"ENSGMOG00000003507",1.78343642362562,1.50192428688987,1.70152060567348,1.02804405358072,1.73118703188368,1.6138150369462,0.874195493125917,1.03058611459318,1.80853501248672,1.01388049420388,1.30808284155118,2.53144784477433,1.317059479181,0
"ENSGMOG00000003523",0.489570782956054,0.464881326894485,0.618734765699449,1.02804405358072,1.17473405734964,0.669885487034271,0.46759293818363,0.504776872453804,2.05413853270097,0.883057204629186,0.726712689750656,1.46750599697063,0.815322534731093,0.0634023530200129
"ENSGMOG00000003530",8.07791791877489,39.0142713570679,28.9258502964492,114.027219609662,21.7016660068275,27.7697983716025,9.29086838043125,9.5697282069367,21.3005234803991,58.9685977757934,117.618448836144,46.7033783535902,38.3828762504176,63.5291577260529
"ENSGMOG00000003670",9.82638500076079,8.33210378203192,9.2036796397793,17.8194302620659,4.63710812111699,8.00817650409151,4.65559925408918,6.435905123786,5.53724300119391,8.24186724320573,13.5168560293622,4.87945743992733,10.3169659202511,7.79848942146158
"ENSGMOG00000003683",105.712319776868,52.1739889183887,61.7961347242324,82.3720297931554,75.8940029156147,106.877184522286,66.4185273498226,74.2022002507092,78.5931264685587,77.3492699610379,76.9225382101069,82.8774011789161,117.406445001277,23.2686635583447
"ENSGMOG00000003714",2.72760864789801,3.39720969653662,2.93899013707238,3.08413216074217,3.15323352235955,2.67954194813708,3.55777235574501,3.0496936044084,3.72870798870719,2.58375996910021,3.59722781426574,2.2379466453802,2.06966489585585,2.72630117986055
"ENSGMOG00000003756",62.0006427272202,10.5134700082291,44.3942194389354,68.4077647320173,96.359106756811,53.2863455595443,89.5542127260387,52.6860860623658,94.3564069477639,66.7525835054877,69.8007538505505,81.4098951819455,72.6264227091235,5.64280941878114
"ENSGMOG00000003844",2.79754733117745,5.00641428963291,0.644515380936926,1.15654956027831,0.803765407660278,0.548088125755312,0.833535237631688,1.19884507207778,1.83086260523347,0.359764046330409,1.48976101398884,1.13731714765224,0.689888298618617,3.29692235704067
"ENSGMOG00000003917",13.4631965312915,29.394803900559,6.3935925788943,13.2360671898518,9.76884110848646,6.33346278650583,15.105284916106,12.8507778778864,8.17189894531036,7.45692750575757,12.8264789740991,11.189733226901,4.76650097227408,55.3502541864712
"ENSGMOG00000003948",109.838702090355,81.6403130230853,54.0103889225144,79.6305789836068,79.9128299539161,59.4980109847711,85.7321487095812,72.9612904392603,77.0078673835394,49.2549685248724,69.5100687746502,83.5377788775529,51.4280368061151,40.1336894616681
