"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_10","sample_23","sample_29","sample_36","sample_42","sample_49"
"ENSGMOG00000003294",639.955401995586,611.036658487443,527.680149661959,608.594621467149,493.228483276649,455.777326495457,775.555048390547,715.625198074859,505.993917238948,579.238364325815,524.126528551003,435.553114049579,870.558138028343,804.846633583079
"ENSGMOG00000003308",42.7636804890987,28.9432348141816,48.896570271899,58.9503282920743,38.9556254307672,26.6090218516343,50.8207418105991,55.299671738204,42.5830273899806,57.4837692991906,38.1441323923778,30.9002293915973,52.5593277800676,53.0990226347425
"ENSGMOG00000003356",51.6855994400618,66.1120370257534,55.2464109193367,91.7315535034648,59.3593783091911,65.8051545301447,37.397241986068,45.5111001060771,34.3290485126276,75.3222048848588,53.0095431533417,67.1471571862752,37.5140431163393,45.1942360072175
"ENSGMOG00000003382",794.243069371723,756.367828251613,412.655723484585,800.951498382283,677.159882806299,686.649721972872,320.974287610316,274.840059496871,536.133446169888,720.92426459436,693.359139776202,714.208285305307,298.667317590131,542.306805379535
"ENSGMOG00000020188",2.26893628494319,2.1909221572488,2.48958509965619,3.3060610653533,4.89425514749877,3.39134592226712,2.37941635685667,1.58920339439237,2.39698881539294,2.67183616701638,2.9276047961363,2.69178609258544,2.40837890097345,3.17152533383982
"ENSGMOG00000003406",34.1109573685527,51.5058893107614,30.7142071845224,42.8856653688787,33.2015687033024,24.5220397456238,36.9707428277635,35.4691772081775,33.8288073685456,38.0736653799834,27.4569537191035,27.2128511825761,32.4989482284299,39.6440666729978
"ENSGMOG00000003429",24.3814509263387,17.1814421805301,37.7353966228786,8.84720566784685,11.5081134549295,21.1306938233567,10.2584271234292,19.300760065229,26.5753107793565,25.1859850449632,12.6768130007455,15.7082311704301,16.0936378323873,11.965300123123
"ENSGMOG00000003455",0.461478566429123,0.0384372308289264,0.0559457325765435,0.232821201785444,0.264554332297231,0.260872763251317,1.21215550254962,1.08250086284697,0.166747048027335,0.196458541692381,0.227386780282431,0.258116474631481,0.680012866157208,1.70589620229263
"ENSGMOG00000003497",1.19215296327523,1.19155415569672,1.0909417852426,0.931284807141774,1.12435591226323,1.07610014841168,0.426499158304497,0.552766398049519,0.437711001071754,0.471500500061714,1.36432068169458,1.06933968061613,0.255004824808953,0.192213656596353
"ENSGMOG00000003507",1.96128390732377,1.61436369481491,1.84620917502594,1.11754176857013,1.85188032608061,1.72828205653997,0.965234937215441,1.1285647293511,1.54241019425285,1.21804295849276,2.61494797324795,1.47495128360846,0.963351560389379,1.12925523250357
