"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_5","sample_16","sample_22","sample_28","sample_35","sample_48"
"ENSGMOG00000003294",625.733881218833,609.968593683893,516.040417691618,592.858549640979,490.593212451288,451.607481391138,760.620703183037,703.455580147478,580.002318177141,500.681606217866,514.377260130733,537.856535985387,441.744459938768,592.153411871763
"ENSGMOG00000003308",41.8133571248929,28.892643331696,47.8179945994989,57.4260844564254,38.7474893910572,26.365579510279,49.8421207527177,54.359269026877,55.4439210681067,40.781136565164,50.6787362095323,39.2524974995367,29.0529700656181,49.9008993986055
"ENSGMOG00000003356",50.5370071725324,65.9964761361449,54.0277684977176,89.3597048808515,59.0422270432492,65.2031120732144,36.6771082924151,44.7371576830941,38.7735724437095,55.7894228645263,70.9638448602249,55.1186460004764,57.6705809394437,39.2373069651372
"ENSGMOG00000003382",776.59286393922,755.045731050616,403.553235887762,780.241768353059,673.541884771373,680.367656553853,314.793500284059,270.166246271438,440.892119107343,465.826155105382,707.834571490694,607.750164140084,955.758545715088,298.992992264372
"ENSGMOG00000020188",2.2185144517704,2.18709252311643,2.43466906141613,3.22057819621343,4.86810562807849,3.36031895719242,2.33359752640816,1.56217807699063,1.97299151815336,2.14773752215013,2.34844378674125,3.39146296953172,2.75727488135237,2.08165892808035
"ENSGMOG00000003406",33.352920656277,51.4158593153687,30.0367037015159,41.7767960382052,33.0241760175054,24.2976909212375,36.2588219433419,34.8660034574721,29.4804964524074,27.1701734729836,36.3838609858899,30.1397839553167,29.3141855806936,31.6962029237895
"ENSGMOG00000003429",23.8396298715666,17.1514097865446,36.9030175713524,8.61844869409228,11.4466267471035,20.9373719640451,10.0608874487597,18.9725395437413,23.9904330975459,26.1092428897528,22.1230211794466,14.0671985779707,16.6307211264727,15.2196761251158
"ENSGMOG00000003455",0.451223278326182,0.0383700442652005,0.0547116643014862,0.226801281423481,0.263140844760999,0.258486073630186,1.18881383420793,1.06409231331246,0.228752639785897,0.258763556885558,0.102106251597446,0.235927858750033,0.0580478922389972,1.09974433936321
"ENSGMOG00000003497",1.16566013567597,1.18947137222122,1.06687745387898,0.907205125693924,1.11834859023425,1.06625505372452,0.418286349073161,0.543366287648916,1.05798095900977,0.853919737722342,0.884920847177864,0.825747505625115,0.551454976270473,0.412404127261202
"ENSGMOG00000003507",1.91769893288627,1.61154185913842,1.80548492194904,1.08864615083271,1.841985913327,1.71247023779998,0.946648053165575,1.1093728372832,1.08657503898301,1.24206507305068,0.884920847177864,2.41826055218784,1.65436492881142,1.13902092291189
"ENSGMOG00000003523",0.526427158047213,0.498810575447607,0.656539971617834,1.08864615083271,1.24991901261475,0.710836702483011,0.506346633088563,0.543366287648916,0.972198719090061,0.828043382033786,0.646672926783824,1.50404009953146,0.899742329704456,0.746255087425032
"ENSGMOG00000003530",8.68604810777901,41.8617182933338,30.6932436731337,120.749002229861,23.0906091277777,29.4674123938412,10.0608874487597,10.301319203344,14.6115748663242,53.6158089866877,109.15158295767,42.6439604690684,30.039784233681,24.0961840071188
"ENSGMOG00000003670",10.5661451008048,8.94022031379173,9.76603207781528,18.8698666144336,4.93389083926874,8.49772967059236,5.04145125988178,6.92792016752368,7.34867855312193,10.893945744882,13.3418835420663,4.74804815734441,9.11351908152255,6.71629578682529
