"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_4","sample_9","sample_15","sample_21","sample_34","sample_40","sample_47"
"ENSGMOG00000003294",595.807114035591,582.889765062358,502.354017143209,570.889263550258,473.792117712157,440.089166178527,717.653979278578,669.748515939884,593.933948417865,436.268510359167,507.029000576711,760.108000793703,502.660598933969,1108.40850598596,634.576598755774
"ENSGMOG00000003308",39.8135635363005,27.6099888716082,46.549767915942,55.2980725060923,37.4205239466927,25.693121528345,47.0265878172706,51.7545681430163,50.3617422960195,34.1740335645523,37.1935270237553,67.8726535124403,24.5647702454046,62.9399594830676,45.9609551040893
"ENSGMOG00000003356",48.1199904611402,63.0666412472325,52.5948464725317,86.0483434731453,57.0202381021336,63.5400971129905,34.605254109352,42.5935138069972,36.7504605943926,41.6017231209803,59.8872786656444,72.8380547376645,70.2648135915631,37.2778540515567,42.7617121507654
"ENSGMOG00000003382",739.451014132387,721.526375850606,392.850215272297,751.328708670849,650.47544045537,663.014779439168,297.011121554396,257.22085033345,372.438695560766,768.282902729008,593.813896965473,649.88339565435,655.392855492247,267.21338895982,418.132042047447
"ENSGMOG00000020188",2.11241029554112,2.08999915761178,2.37009687901535,3.10123471400676,4.70139010535697,3.2746135281224,2.20177487130331,1.48732411573017,1.38948500704108,2.43148581892039,1.85255115443992,3.32243758452505,3.30986352332562,1.84214515560198,2.43322703492237
"ENSGMOG00000003406",31.7577615617793,49.1333135298207,29.2400716085265,40.2286925577496,31.8932139579622,23.6779747418082,34.2105963494014,33.1953498293399,25.3510121692801,27.8122008054592,33.417172747397,36.0356691860025,30.1875504476806,38.4036094244246,33.3892820903237
"ENSGMOG00000003429",22.6994597859843,16.3899933939029,35.92427741339,8.29907881213076,11.054619977461,20.4033612136857,9.49255769986426,18.063443608433,34.3684862966079,18.9189581526956,21.8031020484083,20.8838933884432,13.3590877146275,8.08497040514202,22.2369915135961
"ENSGMOG00000003455",0.429642771974466,0.0366666518879259,0.0532606040228169,0.218396810845546,0.254129194884161,0.251893348317108,1.12165889670168,1.01310483245388,0.170141021270336,0.0666160498334352,0.249381886174605,0.219061818759893,0.0398778737750074,0.716389782734103,1.14902387760223
"ENSGMOG00000003497",1.10991049426737,1.1366662085257,1.03858177844493,0.873587243382185,1.08004907825768,1.03906006180807,0.394657759950593,0.517330127210492,1.13427347513557,0.965932722584811,1.10440549591611,0.693695759406329,1.19633621325022,0.537292337050577,0.383007959200744
"ENSGMOG00000003507",1.82598178089148,1.53999937929289,1.75759993275296,1.04830469205862,1.77890436418913,1.66879343260084,0.893172825151342,1.05621567638809,1.21934398577074,1.79863334550275,1.78129918696146,1.09530909379947,2.11352731007539,1.3048528185514,0.653366518636563
"ENSGMOG00000003523",0.501249900636877,0.476666474543037,0.639127248273803,1.04830469205862,1.20711367569976,0.692706707872047,0.477743604150718,0.517330127210492,0.964132453865238,0.799392598001223,1.49629131704763,0.839736971912925,0.757679601725141,1.15134072225124,0.360478079247759
"ENSGMOG00000003530",8.27062336050847,40.0033172097271,29.8791988568003,116.274462094169,22.2998368510851,28.7158417081503,9.49255769986426,9.80771699503225,10.8039548506663,39.1369292771432,67.6181171370571,171.525404088997,46.5773565692087,20.0333285671715,11.940836375082
"ENSGMOG00000003670",10.0608015770687,8.54332988988673,9.50701781807281,18.1706146623495,4.76492240407801,8.28099382592493,4.75666458045715,6.59595912193378,7.40113442525962,7.62753770592833,10.5809171705511,15.4438582225725,10.846781666802,6.11489850262323,4.66368515026788
"ENSGMOG00000003683",108.234174973234,53.4966451044839,63.832833921346,83.9954134511971,77.9858966800768,110.518206574131,67.8603632504519,76.0475286999424,75.9112523234483,108.68408530325,66.7987195110548,104.017853607823,121.507881392448,77.4980232821999,53.0128075293736
"ENSGMOG00000003714",2.79267801783403,3.48333192935296,3.03585442930056,3.14491407617587,3.24014723477305,2.77082683148819,3.63500568375546,3.12553618523006,3.17596573037961,2.23163766942008,3.06383460157372,2.88431394700526,2.07364943630039,3.9145584556542,4.05537839153729
"ENSGMOG00000003756",63.4797195592273,10.7799956550502,45.8573800636453,69.7559413840675,99.0150875567411,55.1016699443674,91.4982859253874,53.9963320275951,58.8971501964147,62.6857028932625,40.5423694952429,31.0337576576516,39.7582401536824,44.2114837344475,54.9053174454243
"ENSGMOG00000003844",2.86428514649644,5.13333126430962,0.665757550285211,1.17934277856595,0.825919883373522,0.566760033713493,0.851629903051279,1.22865905212492,1.47455551767625,2.73125804317084,1.67442123574377,1.97155636883904,0.677923854175126,1.12575537286788,1.39685255708507
"ENSGMOG00000003917",13.7843722675141,30.1399878518751,6.60431489882929,13.4969229102548,10.0381031979244,6.54922705624481,15.4331955601732,13.1703628219005,9.21597198547654,12.6903574932694,6.55518100801818,8.39736971912925,9.57068970600178,14.9162586904994,11.7380674555052
"ENSGMOG00000003948",112.458995564316,83.7099662601348,55.7904827139007,81.1999342723741,82.1154960969444,61.5249503264536,87.5932512479816,74.7757588038832,79.0872180538279,98.6916778282343,46.313778860998,71.122070490712,55.0314658095103,87.6809923367775,56.0318114430735
"ENSGMOG00000004001",1.2889283159234,1.09999955663778,1.49129691263887,3.14491407617587,2.57305809820213,0.251893348317108,9.59641500511442,10.0232712147033,1.67305337582497,0.799392598001223,1.17565746339457,3.54149940328494,0.0398778737750074,8.62226274219259,5.81270902787011
"ENSGMOG00000004050",20.5870494904432,19.8366586713679,17.5759993275296,27.5179981665388,18.0431728367754,16.8453676687066,19.3797731596791,18.5376628917093,20.9840592900081,20.2179711244476,18.0979997395285,30.7051649295117,21.0953952269789,28.2462257192303,17.2353581640335
"ENSGMOG00000004066",5.29892752101841,3.81333179634429,2.66303020114084,4.7173711142638,6.0038022291383,5.95098035399168,4.63203581415696,2.43576268228274,3.51624777292028,3.06433829233802,2.70757476418142,3.94311273767808,4.2669324939258,5.14265522605552,3.24430271322983
"ENSGMOG00000004095",17.7585679082779,8.46999658611088,14.7265570123089,13.0164499263946,13.9135734199078,12.1538540563005,14.7061944234221,14.7223532035319,22.2317601126572,17.1203248071929,10.2959093006373,15.8819818600923,11.2056825307771,11.7948460657293,13.0448004927783
"ENSGMOG00000004160",2.86428514649644,1.31999946796533,4.12769681176831,0.698869794705748,2.85895344244681,3.58948021351879,0.51928652625078,0.452663861309181,1.92826490773048,2.59802594350397,4.77388182105672,1.35088121568601,4.38656611525082,0.383780240750412,0.450597599059699
"ENSGMOG00000004229",32.5454399770658,45.026648518373,11.6907025830083,25.98922049062,9.81574015240071,27.5823216407233,2.88723308595434,2.65131690195377,26.9673518713483,33.6411051658848,12.896606113601,24.8270061261212,41.8717674637578,3.32609541983691,2.81623499412312
"ENSGMOG00000004238",5.65696316433047,2.38333237271518,16.1379630189135,4.14953940606538,9.68867555495863,4.28218692139084,6.04449516555908,7.97550612782842,13.1292154746943,6.19529263450948,9.54776364211344,3.76056122204484,3.70864226107569,4.11924125072109,8.98942210124099
"ENSGMOG00000004290",1.14571405859858,1.53999937929289,3.88802409366563,1.35406022724239,1.84243666291017,1.10203339888735,1.80711711135271,1.20710363015782,3.17596573037961,1.76532532058603,3.45572042270524,0.620675153153031,0.717801727950134,1.56070631238501,2.14033859553357
"ENSGMOG00000004361",204.832191538827,315.149872976723,141.007449150408,301.038164069501,94.4407620488262,171.130043512935,113.30832002792,171.904490187653,155.565607114844,190.122206224624,170.790966045865,350.133806984563,184.514921956959,126.186943158736,146.601928854073
"ENSGMOG00000004455",121.374083082787,101.676625685218,74.591475933955,95.3083682529964,162.865047771387,155.00886922064,76.584376891465,72.1459973238966,84.5317307344786,108.484237153749,82.2247704701411,66.0471383561079,150.499095626878,70.4620522017757,75.7229265219824
