"","sample_1","sample_2","sample_3","sample_13","sample_14","sample_15"
"ENSGMOG00000011405",0.583797262478278,0.872229815566854,0.67618445266732,1.13570241825308,1.3287759925582,1.17524229082867
"ENSGMOG00000011406",14.9317376749252,15.3036685822184,14.1593024388537,14.0521985780866,12.2811114463712,14.4304340300111
"ENSGMOG00000011407",5.16436039884631,5.17390867870338,5.61233095713875,4.64451436718424,5.37550287898543,6.58906333546568
"ENSGMOG00000011408",6.73612225936475,7.7707747205047,7.5191711136606,7.30578719801608,6.60361402362256,6.82025854021886
"ENSGMOG00000011409",51.3517053572239,48.3294611443634,46.3997771420315,51.9541479394879,47.8359357320951,48.647324333482
"ENSGMOG00000011410",108.047401040211,112.63658663752,108.405891451625,103.789640402442,94.8262867416532,95.7148147678172
"ENSGMOG00000011411",99.8293318837856,106.709388572645,98.9393091142822,125.401887913974,163.358915206321,147.71446957022
"ENSGMOG00000011412",10.1939983525053,16.7309537349642,13.2261678941728,13.7640352779329,13.569621499761,14.2570376264462
"ENSGMOG00000011413",8.39769908334139,7.90953855479942,7.65440800419406,8.88220995768081,8.93903849539151,8.4578912405539
"ENSGMOG00000011414",0.359259853832787,0.47576171758192,0.513900184027163,0.440720341411643,0.342260482931657,0.385325341255303
"ENSGMOG00000011415",3.50278357486967,2.95368732998775,2.97521159173621,3.93258150798081,4.1272587647641,3.54499313954879
"ENSGMOG00000011416",20.4553579276043,19.3476431816648,17.1750850977499,19.3747442397503,19.5088475271044,20.6149057571587
"ENSGMOG00000011417",1180.2359810633,1324.52062174807,1268.00813301986,1359.41884386657,1621.52950328227,1468.6097393934
"ENSGMOG00000011418",3.59259853832787,3.42944904756967,3.39444595238994,3.05114082515753,3.18100919430599,3.60279194073708
"ENSGMOG00000011419",9.63265483089159,12.8852131845103,11.9008463669448,11.6282367003226,11.6569893892605,11.3478312999687
"ENSGMOG00000011420",0.426621076426434,0.396468097984934,0.405710671600392,0.423769559049657,0.845584722537035,0.67431934719678
"ENSGMOG00000011421",36.6894125726733,48.0519334757739,42.8024758538413,36.1390679957547,26.9379133036798,35.4884639296134
"ENSGMOG00000011422",8.19561541556044,8.64300453607155,8.49287672550154,8.45844039863115,7.5901295332491,8.03403336517307
"ENSGMOG00000011423",163.844947088615,175.318192928938,166.611849137228,145.861482224892,154.339344832593,145.749310329818
"ENSGMOG00000011424",44.4134994300782,44.1863695204208,45.8453058908443,40.1564034155455,43.4066824235678,41.0756813778153
"ENSGMOG00000011425",5.54607399354364,5.55055337178907,5.92337580536572,5.74631522071335,5.41576881815386,6.24227052833591
"ENSGMOG00000011426",2.02083667780942,1.42728515274576,1.29827414912125,1.81373371273253,1.7314353842425,1.57983389914674
"ENSGMOG00000011427",47.2875782607405,45.4947142437711,49.5237493133545,44.7670162180057,45.3797134428209,47.1060229684608
"ENSGMOG00000011428",27.7303699677182,35.999303297032,30.3606819247627,31.6301598874664,29.1928058971119,30.0553766179136
"ENSGMOG00000011429",2.17801286386127,2.18057453891713,2.12321918137538,4.28854793758253,4.36885439977468,4.95143063513064
"ENSGMOG00000011430",4079.50790897562,3586.29182713251,3919.65194046571,3544.84931223274,4062.45073567251,3700.12512193817
"ENSGMOG00000011431",0.965510857175614,0.931700030264594,0.811421343200784,1.16960398297705,0.98651550962654,0.963313353138257
"ENSGMOG00000011432",1.34722445187295,1.36781493804802,1.4876057958681,1.52557041257876,1.38917490131084,1.29083989320526
"ENSGMOG00000011433",1.63912308311209,2.25986815851412,2.4477877186557,2.61042048374589,2.51662119802689,3.14040153123072
"ENSGMOG00000011434",0.785880930259221,0.792936195969867,0.838468721307476,1.13570241825308,0.926116600873895,0.886248284887197
"ENSGMOG00000011435",7.79144807999856,6.20472573346421,8.65516099414169,8.50929274571711,9.07996928248101,9.36340579250386
"ENSGMOG00000011436",1.57176186051844,0.971346840063087,1.36589259438799,1.52557041257876,1.40930787089506,1.73396403564886
"ENSGMOG00000011437",40.8433546326149,40.7767438777504,42.8430469210014,39.444470556342,40.3062051075987,39.380249876292
"ENSGMOG00000011438",0.0224537408645492,0.138763834294727,0.0811421343200784,0.0847539118099313,0,0.0577988011882954
"ENSGMOG00000011439",0.943057116311065,1.44710855764501,1.16303725858779,1.54252119494075,1.20797817505291,1.13670975670314
"ENSGMOG00000011440",16.3238696085272,14.4909089813493,17.8377458613639,23.1547687064732,24.4414250752371,24.4296266355862
"ENSGMOG00000011441",5.74815766132459,4.2025618386403,5.77461522577891,7.69565519234177,6.94587450655421,7.61017548979223
"ENSGMOG00000011442",2.24537408645492,2.55721923200282,2.50188247486908,3.2036978664154,2.7984827722059,2.77434245703818
"ENSGMOG00000011443",10.5981656880672,11.0019897190819,10.4538116382368,10.1535186348298,10.5899420012971,11.405630101157
"ENSGMOG00000011444",146.375936695996,151.688694289036,150.085901114038,134.046786918587,140.628792545743,140.913477297064
"ENSGMOG00000011445",17.8956314690457,13.2420344726968,18.2434565329643,15.7303260319233,19.1061881354201,17.6286343624301
