genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000015249	0.672709351975031	0.131813673906237	6.43071986215896	0.011216311063438	0.140363053259212
ENSGMOG00000016878	0.531133755109526	2.3760026564979	6.42982516762741	0.0112219624397798	0.140363053259212
ENSGMOG00000008871	-0.259193949969442	4.88284561086063	6.42818873700462	0.0112323065850507	0.140367754919396
ENSGMOG00000020044	0.241076250992862	5.74430445657488	6.42761150798007	0.0112359576780189	0.140367754919396
ENSGMOG00000011102	0.491467460893951	1.15728255408004	6.4250387755068	0.011252245560006	0.140421578979502
ENSGMOG00000004433	-0.391540161385699	2.2359961623902	6.42416481156406	0.0112577841080186	0.140421578979502
ENSGMOG00000005749	0.491041295006733	1.49182672241324	6.42370440469574	0.0112607029570231	0.140421578979502
ENSGMOG00000016492	-0.318653846741029	4.18647914020678	6.42187879939054	0.0112722844243101	0.140479105386383
ENSGMOG00000009109	0.578549593806513	1.136904783482	6.42077397772229	0.0112792992450218	0.140479105386383
ENSGMOG00000019255	1.60227968521324	-2.90246530898251	6.41975683303646	0.0112857613408941	0.140479105386383
ENSGMOG00000010365	0.324323531439358	3.09302240648443	6.41288448509912	0.0113295222305522	0.140908452330605
ENSGMOG00000000875	0.373522545284361	2.70770838855561	6.41056669594313	0.0113443204015299	0.140908452330605
ENSGMOG00000009622	1.00875394996108	-1.42185750030688	6.41011250098938	0.0113472225812011	0.140908452330605
ENSGMOG00000019563	0.289468635452957	3.69417959433693	6.41005380705989	0.0113475976747103	0.140908452330605
ENSGMOG00000005253	0.256865047669292	4.61171748156118	6.40695114631098	0.0113674438813076	0.141069910129677
ENSGMOG00000001189	0.57571788987393	0.60298869139451	6.40410010051077	0.0113857120371745	0.14107330199369
ENSGMOG00000004798	0.315876765338348	3.6394132775635	6.40372050533591	0.0113881465758395	0.14107330199369
ENSGMOG00000011179	0.423325874156246	1.80100725631988	6.4032151546495	0.0113913884782663	0.14107330199369
ENSGMOG00000006829	1.36789651770983	-2.24911268085022	6.40202742679821	0.0113990116650282	0.14107330199369
ENSGMOG00000012923	-0.693813284912968	0.16914298703102	6.40157190975995	0.0114019366963318	0.14107330199369
ENSGMOG00000009450	-3.87597173391002	-4.2768404095411	6.39733440557093	0.0114291841102935	0.141325598119664
ENSGMOG00000013382	-0.400773752395703	2.41494228153079	6.39478492193919	0.011445609639566	0.141443855815572
ENSGMOG00000005932	1.77649807483082	-3.11228065010634	6.38790125277272	0.0114900801147164	0.14188858394179
ENSGMOG00000017997	-0.28861397263253	3.90443834224663	6.38708519048926	0.0114953638569247	0.14188858394179
ENSGMOG00000003222	-1.79653548954104	-3.07664623536578	6.38428608379295	0.0115135061334896	0.142027469736458
ENSGMOG00000017326	0.476093066736656	1.61816764279007	6.38290883167802	0.0115224435130812	0.142052708214798
ENSGMOG00000008378	-0.327547908021397	3.10675953543983	6.38002049260155	0.0115412098999525	0.142162181532226
ENSGMOG00000008780	0.893460370825637	-0.8946127898973	6.37941979233315	0.0115451167653882	0.142162181532226
