#Position (bp)	Coverage
6687500.5	9.87672
6712500.5	3.35232
6737500.5	1.58932
6762500.5	2.50036
6787500.5	4.16844
6812500.5	6.27452
6837500.5	6.63592
6862500.5	4.6462
6887500.5	2.01252
6912500.5	2.017
6937500.5	2.54784
6962500.5	3.00948
6987500.5	3.0
7012500.5	2.6718
7037500.5	0.4898
7062500.5	0.0
7087500.5	0.0
7112500.5	0.00244
7137500.5	0.10912
7162500.5	0.28016
7187500.5	0.00228
7212500.5	0.01008
7237500.5	0.0702
7262500.5	0.18592
7287500.5	1.0
7312500.5	1.01
7337500.5	0.5936
7362500.5	0.826
7387500.5	0.96196
7412500.5	0.35172
7437500.5	0.00504
7462500.5	0.0
7487500.5	0.00248
7512500.5	0.45604
7537500.5	1.0
7562500.5	1.00252
7587500.5	1.03452
7612500.5	1.14952
7637500.5	1.00492
7662500.5	1.0
7687500.5	1.0
7712500.5	1.0
7737500.5	2.7478
7762500.5	3.78332
7787500.5	6.2316
7812500.5	3.7296
7837500.5	4.46708
7862500.5	5.97812
7887500.5	6.532
7912500.5	4.44152
7937500.5	1.69828
7962500.5	16.95304
7987500.5	14.2858
8012500.5	6.3772
8037500.5	2.05328
8062500.5	1.44
8087500.5	1.03428
8112500.5	3.017
8137500.5	4.975
8162500.5	5.10768
8187500.5	5.12716
8212500.5	4.18248
8237500.5	4.77488
8262500.5	7.69804
8287500.5	2.70768
8312500.5	1.25484
8337500.5	2.20112
8362500.5	4.121
8387500.5	4.81736
8412500.5	3.9452
8437500.5	0.0126
8462500.5	0.16868
8487500.5	1.2982
8512500.5	3.46092
8537500.5	2.57448
8562500.5	2.63148
8587500.5	2.00492
8612500.5	1.58652
8637500.5	2.20148
8662500.5	4.66716
8687500.5	4.54908
8712500.5	3.13228
8737500.5	2.1884
8762500.5	3.11028
8787500.5	5.01068
8812500.5	6.4922
8837500.5	5.19488
8862500.5	35.85836
8887500.5	9.23704
8912500.5	2.788
8937500.5	3.99104
8962500.5	5.988
8987500.5	5.23728
9012500.5	3.87312
9037500.5	3.95408
9062500.5	4.76024
9087500.5	5.1388
9112500.5	6.24308
9137500.5	6.46148
9162500.5	5.55692
9187500.5	4.08064
9212500.5	2.72384
9237500.5	2.88348
9262500.5	6.32156
9287500.5	1.00464
9312500.5	1.00252
9337500.5	1.00736
9362500.5	2.10148
9387500.5	3.549
9412500.5	3.79336
9437500.5	5.50696
9462500.5	5.0202
9487500.5	7.49452
9512500.5	9.04188
9537500.5	6.9434
9562500.5	2.64216
9587500.5	3.17236
9612500.5	4.2366
9637500.5	4.93088
9662500.5	4.0692
9687500.5	0.41912
9712500.5	1.51868
9737500.5	12.35308
9762500.5	8.00428
9787500.5	4.84556
9812500.5	5.12016
9837500.5	1.9862
9862500.5	2.70244
9887500.5	3.0746
9912500.5	3.8466
9937500.5	4.25148
9962500.5	7.42896
9987500.5	2.75148
