ENSGMOG00000000323,ENSGMOT00000000337.1
ENSGMOG00000000324,ENSGMOT00000000338.1
ENSGMOG00000000325,ENSGMOT00000000342.1
ENSGMOG00000000326,ENSGMOT00000000340.1
ENSGMOG00000000327,ENSGMOT00000000341.1
ENSGMOG00000000328,ENSGMOT00000000343.1
ENSGMOG00000000329,ENSGMOT00000000347.1
ENSGMOG00000000330,ENSGMOT00000000344.1
ENSGMOG00000000331,ENSGMOT00000000352.1
ENSGMOG00000000332,ENSGMOT00000000346.1
ENSGMOG00000000333,ENSGMOT00000000345.1
ENSGMOG00000000334,ENSGMOT00000000348.1
ENSGMOG00000000335,ENSGMOT00000000351.1
ENSGMOG00000000336,ENSGMOT00000000350.1
ENSGMOG00000000337,ENSGMOT00000000357.1
ENSGMOG00000000338,ENSGMOT00000000349.1
ENSGMOG00000000339,ENSGMOT00000000355.1
ENSGMOG00000000340,ENSGMOT00000000354.1
ENSGMOG00000000341,ENSGMOT00000000364.1
ENSGMOG00000000342,ENSGMOT00000000359.1
ENSGMOG00000000343,ENSGMOT00000000356.1
ENSGMOG00000000344,ENSGMOT00000000358.1
ENSGMOG00000000345,ENSGMOT00000000360.1
ENSGMOG00000000346,ENSGMOT00000000361.1
ENSGMOG00000000347,ENSGMOT00000000371.1
ENSGMOG00000000348,ENSGMOT00000000365.1
ENSGMOG00000000349,ENSGMOT00000000363.1
ENSGMOG00000000350,ENSGMOT00000000386.1
ENSGMOG00000000351,ENSGMOT00000000368.1
ENSGMOG00000000352,ENSGMOT00000000367.1
ENSGMOG00000000353,ENSGMOT00000000366.1
ENSGMOG00000000354,ENSGMOT00000000373.1
ENSGMOG00000000355,ENSGMOT00000000376.1
ENSGMOG00000000356,ENSGMOT00000000377.1
ENSGMOG00000000357,ENSGMOT00000000380.1
ENSGMOG00000000358,ENSGMOT00000000370.1
ENSGMOG00000000359,ENSGMOT00000000375.1
ENSGMOG00000000360,ENSGMOT00000000374.1
ENSGMOG00000000361,ENSGMOT00000000369.1
ENSGMOG00000000362,ENSGMOT00000000378.1
ENSGMOG00000000363,ENSGMOT00000000372.1
ENSGMOG00000000364,ENSGMOT00000000379.1
ENSGMOG00000000365,ENSGMOT00000000381.1
ENSGMOG00000000366,ENSGMOT00000000400.1
ENSGMOG00000000367,ENSGMOT00000000402.1
ENSGMOG00000000367,ENSGMOT00000000410.1
ENSGMOG00000000368,ENSGMOT00000000383.1
ENSGMOG00000000369,ENSGMOT00000000382.1
ENSGMOG00000000370,ENSGMOT00000000388.1
ENSGMOG00000000370,ENSGMOT00000000395.1
ENSGMOG00000000371,ENSGMOT00000000384.1
ENSGMOG00000000372,ENSGMOT00000000445.1
ENSGMOG00000000373,ENSGMOT00000000385.1
ENSGMOG00000000374,ENSGMOT00000000392.1
ENSGMOG00000000375,ENSGMOT00000000404.1
ENSGMOG00000000375,ENSGMOT00000000394.1
ENSGMOG00000000376,ENSGMOT00000000391.1
ENSGMOG00000000377,ENSGMOT00000000387.1
ENSGMOG00000000378,ENSGMOT00000000396.1
ENSGMOG00000000379,ENSGMOT00000000393.1
ENSGMOG00000000380,ENSGMOT00000000390.1
ENSGMOG00000000381,ENSGMOT00000000403.1
ENSGMOG00000000382,ENSGMOT00000000389.1
ENSGMOG00000000383,ENSGMOT00000000446.1
ENSGMOG00000000384,ENSGMOT00000000398.1
ENSGMOG00000000385,ENSGMOT00000000397.1
ENSGMOG00000000386,ENSGMOT00000000406.1
ENSGMOG00000000387,ENSGMOT00000000399.1
ENSGMOG00000000388,ENSGMOT00000000405.1
ENSGMOG00000000389,ENSGMOT00000000416.1
ENSGMOG00000000390,ENSGMOT00000000401.1
ENSGMOG00000000391,ENSGMOT00000000408.1
ENSGMOG00000000392,ENSGMOT00000000407.1
ENSGMOG00000000393,ENSGMOT00000000413.1
ENSGMOG00000000394,ENSGMOT00000000412.1
ENSGMOG00000000395,ENSGMOT00000000411.1
ENSGMOG00000000396,ENSGMOT00000000436.1
ENSGMOG00000000397,ENSGMOT00000000428.1
ENSGMOG00000000398,ENSGMOT00000000409.1
ENSGMOG00000000399,ENSGMOT00000000414.1
ENSGMOG00000000400,ENSGMOT00000000434.1
ENSGMOG00000000401,ENSGMOT00000000415.1
ENSGMOG00000000402,ENSGMOT00000000418.1
ENSGMOG00000000403,ENSGMOT00000000417.1
ENSGMOG00000000404,ENSGMOT00000000432.1
ENSGMOG00000000405,ENSGMOT00000000419.1
ENSGMOG00000000406,ENSGMOT00000000439.1
