"","genes","logFC","logCPM","LR","PValue","FDR"
"13277","ENSGMOG00000013652",-0.663177096486822,4.79863019500674,17.4545142110252,2.94264676658739e-05,0.00358253868164893
"906","ENSGMOG00000000942",-0.611966440501421,6.10643804177686,17.3388532258198,3.12727151720552e-05,0.00377301082508255
"2964","ENSGMOG00000003064",2.36698923600135,0.779840151894233,17.3173046637938,3.16293395123727e-05,0.00378196531026514
"6344","ENSGMOG00000006545",1.51935258969569,3.20426842874512,17.2987388441018,3.19398763048779e-05,0.00378529932278695
"17685","ENSGMOG00000018162",0.506700235087652,8.04119475530336,17.2307573276714,3.31033375393655e-05,0.00388877102041388
"5093","ENSGMOG00000005259",1.83437405345294,1.62885294474592,17.1431088434836,3.46664827804975e-05,0.00403698728170802
"7359","ENSGMOG00000007592",2.19923812302792,-0.384451390458972,17.0249253709606,3.6892332635243e-05,0.00425915619526875
"11599","ENSGMOG00000011937",2.7338732088145,0.646176039033585,16.9998861757813,3.73820593419266e-05,0.00427880802313744
"18614","ENSGMOG00000019116",-0.865723214809467,4.1927464146839,16.9703445265265,3.79682569894417e-05,0.00430907540341189
"276","ENSGMOG00000000287",2.10166717509205,-0.113230343806234,16.9320799095393,3.87413033972521e-05,0.00435986163946219
"3549","ENSGMOG00000003666",0.466948150850151,6.47234982339023,16.8832379923852,3.97510716644028e-05,0.0044093915855319
"13030","ENSGMOG00000013400",-0.491499252533447,6.2769474337564,16.8633827891697,4.01690882089804e-05,0.0044093915855319
"17084","ENSGMOG00000017543",-0.680846308882383,5.5856341026371,16.8633780467726,4.01691885778742e-05,0.0044093915855319
"10891","ENSGMOG00000011215",4.7766920290269,-0.238196641357649,16.830011595327,4.08816397759362e-05,0.00445111316975072
"11432","ENSGMOG00000011764",-0.445904892812892,7.297193727124,16.7899519279682,4.17538091331486e-05,0.00450941138638005
"17236","ENSGMOG00000017696",1.75133381584562,1.65810673175133,16.6863472338547,4.4097215774122e-05,0.00463316313169968
"4716","ENSGMOG00000004870",-0.61302568549108,6.08162365143617,16.6841537765937,4.41482329941287e-05,0.00463316313169968
"3868","ENSGMOG00000003998",0.510688001067992,6.55828603855373,16.6835127254581,4.4163154287269e-05,0.00463316313169968
"14424","ENSGMOG00000014828",-0.447433213178848,6.71251558973765,16.6783495629489,4.42835185825537e-05,0.00463316313169968
"12812","ENSGMOG00000013175",2.48827597463144,0.576426116728699,16.6419956886008,4.5140393165529e-05,0.00468620267653306
"860","ENSGMOG00000000895",1.6269628721564,0.764208598778037,16.4835708936505,4.90734693002892e-05,0.0050361339871416
"11641","ENSGMOG00000011979",-0.524536485332126,7.9640477453762,16.4762526809348,4.92632580880787e-05,0.0050361339871416
"1631","ENSGMOG00000001692",1.98191033215876,0.304440117307112,16.419371014679,5.0763799300386e-05,0.00505472294009409
"9902","ENSGMOG00000010200",-0.717701906985474,6.06806642540985,16.4167442697276,5.08341925801899e-05,0.00505472294009409
"10970","ENSGMOG00000011296",2.27078639310899,-0.529187819851792,16.3876397052707,5.16207561561357e-05,0.00505472294009409
"8855","ENSGMOG00000009116",-3.80750940526757,2.94511066226253,16.3842776399934,5.17124023897458e-05,0.00505472294009409
"6271","ENSGMOG00000006470",1.57709633562326,1.15019180715181,16.3826926090896,5.17556653343386e-05,0.00505472294009409
"7831","ENSGMOG00000008073",-0.528241475689802,8.16202581174444,16.3825523017213,5.17594967349796e-05,0.00505472294009409
"11243","ENSGMOG00000011572",-0.617524413822416,5.08377474397281,16.3705902114947,5.20871987554499e-05,0.00505472294009409
"7260","ENSGMOG00000007491",-0.833987330315524,6.92939445654043,16.3361188092202,5.30432603479157e-05,0.00511047009049847
"16626","ENSGMOG00000017076",1.28251798742851,3.16902562396193,16.2727979187609,5.4845681646514e-05,0.00519859913790659
"1264","ENSGMOG00000001313",1.31680032882082,3.0388924627725,16.2497547941378,5.55167790349827e-05,0.00519859913790659
"9380","ENSGMOG00000009662",1.56459720313684,0.75465028381776,16.2390336708966,5.58318249081994e-05,0.00519859913790659
"12018","ENSGMOG00000012369",1.78016821240974,1.83976027628426,16.218171452466,5.64500348074499e-05,0.00519859913790659
"16478","ENSGMOG00000016925",1.20584619616438,3.09890575144174,16.2166445841189,5.64955499116725e-05,0.00519859913790659
"4380","ENSGMOG00000004521",1.34743948804578,2.75567772355164,16.2078285048406,5.67590750503781e-05,0.00519859913790659
"16152","ENSGMOG00000016591",1.40935857721196,1.32184605801195,16.2049703119943,5.68447755688635e-05,0.00519859913790659
"9008","ENSGMOG00000009275",1.39028227225409,3.73357121776453,16.1951638763526,5.71398037233959e-05,0.00519859913790659
"6612","ENSGMOG00000006817",1.31598247316096,1.87483771284535,16.1848531933206,5.74516631130657e-05,0.00519859913790659
"3982","ENSGMOG00000004115",1.90011874932845,-0.168518771489279,16.0351114259869,6.21786290836485e-05,0.00555487121538605
"1598","ENSGMOG00000001659",1.97026177229649,0.459964336758649,16.0338964902136,6.22185395988581e-05,0.00555487121538605
"14975","ENSGMOG00000015391",6.65850879739647,2.35581817591145,15.9371443599233,6.54809883572307e-05,0.0058017478254651
"1387","ENSGMOG00000001441",0.764127308584665,6.06062047691648,15.9194806619532,6.60949189887647e-05,0.0058017478254651
"5905","ENSGMOG00000006096",-0.530753197012398,5.701713274039,15.9140906146376,6.62834092963083e-05,0.0058017478254651
"12072","ENSGMOG00000012426",3.0199487643723,-0.949661126152802,15.9013266188512,6.67319260878147e-05,0.00580307762446762
"19272","ENSGMOG00000019790",1.2084448656722,2.92802611219587,15.8583752869266,6.82637440781768e-05,0.00589798748835448
"6343","ENSGMOG00000006544",1.38708082661052,0.963040310883027,15.8314333623746,6.92426035578795e-05,0.00594421119773796
"11921","ENSGMOG00000012270",-1.65992768677462,1.73195637671425,15.8114701659146,6.99770065452099e-05,0.00596899408696466
"18973","ENSGMOG00000019485",0.720158566292163,7.25828838949604,15.7889051044179,7.08165649936885e-05,0.00598947023354714
"170","ENSGMOG00000000174",-0.675860364863777,5.863568975747,15.781040757659,7.11115417513438e-05,0.00598947023354714
"1231","ENSGMOG00000001280",0.858075903372437,5.68092932581631,15.761015519024,7.1868243228106e-05,0.00601537195819248
"4951","ENSGMOG00000005113",1.61714997286403,2.09448542768243,15.7087595255913,7.38812304306782e-05,0.00606872526493782
"4247","ENSGMOG00000004387",1.20502602995669,3.47319344362564,15.6933232283713,7.44866443227439e-05,0.00606872526493782
"3896","ENSGMOG00000004027",1.99731124445756,1.71857389206914,15.6808158189126,7.49808451451124e-05,0.00606872526493782
"17757","ENSGMOG00000018236",1.89723473463454,-0.0154861973363364,15.668623296836,7.54657788702698e-05,0.00606872526493782
"15503","ENSGMOG00000015931",-0.834494202945453,4.02917657588368,15.6629823442031,7.56912030484937e-05,0.00606872526493782
"1776","ENSGMOG00000001839",-0.848932562801398,5.57819503725948,15.6553087148764,7.59989451454878e-05,0.00606872526493782
"5830","ENSGMOG00000006016",-0.621496159946001,6.54870229126035,15.6526450382428,7.61060628779715e-05,0.00606872526493782
"964","ENSGMOG00000001001",-0.484596352379583,6.08865506983426,15.6520264140629,7.61309621049547e-05,0.00606872526493782
"766","ENSGMOG00000000800",1.63897439653782,3.82104663188613,15.6260918929735,7.71822167076129e-05,0.00611611979969439
"18300","ENSGMOG00000018798",-1.96528731617606,4.71668610211739,15.5817705634753,7.90126982427984e-05,0.00614289975116506
"17527","ENSGMOG00000017996",1.39762243658085,1.94368042495886,15.5804217190495,7.90690854902513e-05,0.00614289975116506
"3050","ENSGMOG00000003152",-0.743861624812485,4.7786256306419,15.578037384823,7.91688595230786e-05,0.00614289975116506
"2156","ENSGMOG00000002236",-0.611205234521397,5.3880970626384,15.5679279722553,7.95933035160587e-05,0.00614289975116506
"6411","ENSGMOG00000006613",-0.653601299791521,4.92720765196721,15.5627008472078,7.98136616414815e-05,0.00614289975116506
"715","ENSGMOG00000000746",1.7251419706461,3.39031340354506,15.5299103000212,8.12100728235871e-05,0.00621095298239378
"11775","ENSGMOG00000012118",-0.741663234641278,4.71580787940863,15.5202663338616,8.16254274866567e-05,0.00621095298239378
"18603","ENSGMOG00000019105",1.33738638688253,4.42409230949192,15.4641896293799,8.40832883076596e-05,0.00633678861020416
"8231","ENSGMOG00000008478",1.6650760490547,2.34577398438238,15.4609948986567,8.42255355896311e-05,0.00633678861020416
"9183","ENSGMOG00000009455",1.64761309929968,0.46102080194255,15.4256488255978,8.58155922364364e-05,0.00642034866609137
"7828","ENSGMOG00000008070",1.73161834689317,0.837812134187537,15.3947710975878,8.72293385226011e-05,0.00648986278608152
"16714","ENSGMOG00000017169",0.399734532167,6.75184398536595,15.3777651217191,8.80179458404757e-05,0.00651235541820802
"111","ENSGMOG00000000114",1.11393659318694,6.94945133729792,15.332098274397,9.01713070322082e-05,0.00654930205684782
"11163","ENSGMOG00000011491",0.483875977184399,8.87714486427936,15.331054276477,9.0221150335083e-05,0.00654930205684782
"17800","ENSGMOG00000018279",-0.835800403512129,4.52925495302207,15.3276963139842,9.03816566729002e-05,0.00654930205684782
"5520","ENSGMOG00000005695",1.07190352659885,3.5657556767171,15.3197678456603,9.07617684004572e-05,0.00654930205684782
"5121","ENSGMOG00000005287",0.452244914583874,10.3456928326109,15.3137439547112,9.10516446776088e-05,0.00654930205684782
"11205","ENSGMOG00000011533",0.388134442479692,7.06174152777301,15.3054646550701,9.14515744198434e-05,0.00654930205684782
"9791","ENSGMOG00000010089",-0.626049422623576,4.96597220782546,15.2818287411203,9.26030550718537e-05,0.00655052029599235
"18983","ENSGMOG00000019495",1.63359866740435,1.71920930937402,15.2758325263689,9.28974880520886e-05,0.00655052029599235
"3476","ENSGMOG00000003590",0.460537013624,6.33198353382428,15.2711800611429,9.31265875767632e-05,0.00655052029599235
"5718","ENSGMOG00000005899",-0.862803126111462,4.18346696866617,15.2651345752498,9.34251326564022e-05,0.00655052029599235
"583","ENSGMOG00000000612",-0.841444922979367,6.82369304212809,15.2513628914912,9.41088225015375e-05,0.00656409036948224
"4946","ENSGMOG00000005108",4.21086218998003,-0.555982221951163,15.2223299153733,9.55666941278077e-05,0.00661819396662365
"9945","ENSGMOG00000010243",2.57484030366206,-0.323870790089209,15.2154124210696,9.59173911020232e-05,0.00661819396662365
"4114","ENSGMOG00000004250",1.28963561361202,3.57896159446102,15.2065796235836,9.63670716466257e-05,0.00661819396662365
"12000","ENSGMOG00000012351",-0.800213964696884,7.53698904190006,15.1956694195414,9.69254434092005e-05,0.00662257927620414
"19223","ENSGMOG00000019741",1.6276626190918,0.404989634424005,15.1702826730152,9.82373431278656e-05,0.00667814466582932
"3528","ENSGMOG00000003645",2.03592506420678,0.929965180151852,15.1582536345059,9.88651875092655e-05,0.00668688177335396
"19022","ENSGMOG00000019535",1.76882864644958,0.652430778881797,15.1232432782197,0.00010071559560964,0.00677780530856433
"8688","ENSGMOG00000008947",5.67123051138631,1.38794673595901,15.047974735252,0.000104812663328032,0.00701825593644504
"3905","ENSGMOG00000004036",1.90576247252342,1.44317545264085,14.991513239801,0.000107995774043718,0.0071954199303158
"15772","ENSGMOG00000016202",-0.457158331151079,6.83837241291532,14.9553257870127,0.000110086887726945,0.00721865056045546
"4300","ENSGMOG00000004440",-4.73734304978262,-0.356344239671002,14.9522241133202,0.000110268004982948,0.00721865056045546
"7690","ENSGMOG00000007929",-1.19822577415617,2.52629395120113,14.9486206991724,0.000110478797215863,0.00721865056045546
"5522","ENSGMOG00000005697",-1.04392443298496,6.00774023125228,14.9351956913422,0.000111267708881313,0.00721865056045546
"12340","ENSGMOG00000012698",-4.97201327193052,0.451765851765216,14.9160343116935,0.000112403547191921,0.00721865056045546
"15102","ENSGMOG00000015520",1.68473472253227,2.20294179508171,14.914984574548,0.000112466109083039,0.00721865056045546
"12043","ENSGMOG00000012395",-0.755872676234389,6.11052500166068,14.9112204589128,0.000112690729913645,0.00721865056045546
"9742","ENSGMOG00000010040",0.502542844372521,6.21549097500467,14.9054878239878,0.000113033688517354,0.00721865056045546
"3784","ENSGMOG00000003911",-0.412578697167346,6.58528192293288,14.9027860939394,0.000113195685311801,0.00721865056045546
"3507","ENSGMOG00000003624",1.44925686600965,0.585417116047328,14.8828449051149,0.000114398617029825,0.00724921657838225
"9154","ENSGMOG00000009425",-0.578182785575965,5.40395392539339,14.8769346979263,0.000114757610111786,0.00724921657838225
"19865","ENSGMOG00000020383",1.83131694697218,-0.514452721916399,14.8463497365194,0.000116633575654425,0.00730367888651667
"2950","ENSGMOG00000003050",-0.995602474884726,4.50233065386539,14.8451058655865,0.000116710519841291,0.00730367888651667
"11728","ENSGMOG00000012071",1.47342370834918,2.98006550944227,14.8186191112909,0.000118361137895016,0.0073210880472167
"1324","ENSGMOG00000001375",2.28339816605503,0.108985992879356,14.8173758103589,0.000118439193538792,0.0073210880472167
"11430","ENSGMOG00000011762",-4.21550212993145,0.570049554400973,14.814360045963,0.000118628741505826,0.0073210880472167
"16282","ENSGMOG00000016721",1.24174582062433,3.34771865126139,14.782648869303,0.000120640446630356,0.00741108651960423
"9796","ENSGMOG00000010094",1.7410571411951,0.714391301568943,14.724855794637,0.000124395493614546,0.00760686963692238
"9709","ENSGMOG00000010006",-0.975829493959622,3.31747237750723,14.7152422770458,0.000125031439568633,0.00761100472137787
"994","ENSGMOG00000001032",1.38850535860877,4.04111470756124,14.6842944447663,0.000127100989433952,0.00769366407064758
"5476","ENSGMOG00000005651",1.6439258092004,2.70062829586234,14.6639547667472,0.000128479894983276,0.00769366407064758
"3225","ENSGMOG00000003330",-0.796772351155947,7.25485669901526,14.6558877083831,0.000129030954282651,0.00769366407064758
"623","ENSGMOG00000000653",1.583091793974,1.33028218064059,14.6529532296721,0.000129231997662618,0.00769366407064758
"868","ENSGMOG00000000903",-0.632048861662804,5.09810301202753,14.6488241782201,0.000129515416299552,0.00769366407064758
"690","ENSGMOG00000000721",1.48465276821816,4.2422302542542,14.6441598937374,0.000129836326162362,0.00769366407064758
"9917","ENSGMOG00000010215",-0.466405010011904,6.17327748030689,14.5921024797808,0.000133472745697839,0.00787430401050865
"3716","ENSGMOG00000003840",0.861648710955867,5.42395241025972,14.5649181471782,0.000135412258827661,0.00794769635702928
"19566","ENSGMOG00000020084",-0.829384432949041,7.39573587199273,14.5580922043007,0.000135903708614076,0.00794769635702928
"1895","ENSGMOG00000001962",-0.721842052470855,4.47143613938785,14.5379448586969,0.000137364761743114,0.00799821256201643
"7767","ENSGMOG00000008008",0.46422405350105,6.53242768658778,14.5031540435957,0.000139925069676562,0.00809659742441008
"140","ENSGMOG00000000143",1.92452144313248,-0.682192455650936,14.4986014876814,0.0001402636351899,0.00809659742441008
