ENSGMOG00000006967	0
ENSGMOG00000006974	14267
ENSGMOG00000006987	2
ENSGMOG00000006992	0
ENSGMOG00000007000	1252
ENSGMOG00000007035	127
ENSGMOG00000007044	2499
ENSGMOG00000007050	461
ENSGMOG00000005536	164
ENSGMOG00000005565	35186
ENSGMOG00000005590	1946
ENSGMOG00000005625	891
ENSGMOG00000005633	119
ENSGMOG00000005648	10
ENSGMOG00000005652	3671
ENSGMOG00000005676	4
ENSGMOG00000005698	10
ENSGMOG00000005753	3013
ENSGMOG00000005773	614
ENSGMOG00000005794	3018
ENSGMOG00000005808	819
ENSGMOG00000005838	12
ENSGMOG00000005866	46
ENSGMOG00000005931	3
ENSGMOG00000005989	0
ENSGMOG00000005992	197
ENSGMOG00000006011	5
ENSGMOG00000006023	608
ENSGMOG00000006041	3060
ENSGMOG00000006066	1100
ENSGMOG00000006097	1211
ENSGMOG00000006108	0
ENSGMOG00000006125	0
ENSGMOG00000006140	0
ENSGMOG00000006155	246
ENSGMOG00000006181	3
ENSGMOG00000006190	3
ENSGMOG00000006241	1891
ENSGMOG00000006322	462
ENSGMOG00000006338	6
ENSGMOG00000006344	2782
ENSGMOG00000006403	532
ENSGMOG00000006419	2132
ENSGMOG00000006429	46
ENSGMOG00000006458	1267
ENSGMOG00000006474	0
ENSGMOG00000006494	37
ENSGMOG00000006502	2
ENSGMOG00000006511	0
ENSGMOG00000006521	1973
ENSGMOG00000006539	0
ENSGMOG00000006545	7160
ENSGMOG00000006599	1
ENSGMOG00000006609	7
ENSGMOG00000006616	2
ENSGMOG00000006625	1669
ENSGMOG00000006631	25
ENSGMOG00000006649	6
ENSGMOG00000006663	47
ENSGMOG00000006668	553
ENSGMOG00000006724	156
ENSGMOG00000006758	275
ENSGMOG00000006772	685
ENSGMOG00000006774	100
ENSGMOG00000006780	170
ENSGMOG00000006787	42
ENSGMOG00000006790	502
ENSGMOG00000006832	1075
ENSGMOG00000007041	95
ENSGMOG00000007051	202
ENSGMOG00000007067	5
ENSGMOG00000007079	656
ENSGMOG00000007147	1355
ENSGMOG00000007217	7
ENSGMOG00000007132	343
ENSGMOG00000007143	6
ENSGMOG00000007164	0
ENSGMOG00000007175	5
ENSGMOG00000007184	0
ENSGMOG00000007187	93
ENSGMOG00000007195	266
ENSGMOG00000007199	77353
ENSGMOG00000007205	217
ENSGMOG00000007220	1237
ENSGMOG00000007223	916
ENSGMOG00000007225	106
ENSGMOG00000007234	27
ENSGMOG00000007261	5818
ENSGMOG00000007291	27
ENSGMOG00000007296	58
ENSGMOG00000007304	2503
ENSGMOG00000007312	1015
ENSGMOG00000007318	357
ENSGMOG00000007327	398
ENSGMOG00000007329	427
ENSGMOG00000007336	2765
ENSGMOG00000007377	4433
ENSGMOG00000007396	447
ENSGMOG00000007400	109
ENSGMOG00000007412	2199
ENSGMOG00000007433	2325
ENSGMOG00000007443	3073
ENSGMOG00000007451	8
ENSGMOG00000007453	147
ENSGMOG00000007461	3278
ENSGMOG00000007472	119
ENSGMOG00000007485	51
ENSGMOG00000007497	481
ENSGMOG00000007507	31547
ENSGMOG00000007512	397
ENSGMOG00000007517	3
ENSGMOG00000007528	4002
ENSGMOG00000007531	708
ENSGMOG00000007538	79
ENSGMOG00000007548	0
ENSGMOG00000007554	10150
ENSGMOG00000007559	7
ENSGMOG00000007566	14
