ID	sample_2	sample_7	sample_13	sample_19	sample_26	sample_32	sample_45
ENSGMOG00000007327	62	253	290	200	162	44	319
ENSGMOG00000007329	124	322	299	266	144	18	321
ENSGMOG00000007336	1545	1611	1342	1021	1432	187	2271
ENSGMOG00000007377	4862	6609	6507	7092	3795	2873	4717
ENSGMOG00000007396	194	223	223	123	142	57	512
ENSGMOG00000007400	182	216	132	131	219	43	146
ENSGMOG00000007412	949	1207	1191	1149	968	403	1826
ENSGMOG00000007433	4931	2781	840	1381	495	157	1543
ENSGMOG00000007443	3889	3464	1694	2379	1791	1126	3379
ENSGMOG00000007451	36	45	20	28	33	1	10
ENSGMOG00000007453	96	46	37	26	45	63	156
ENSGMOG00000007461	2476	2070	458	1575	417	400	4308
ENSGMOG00000007472	108	168	220	143	113	26	152
ENSGMOG00000007485	75	134	148	124	134	109	41
ENSGMOG00000007497	318	483	547	322	450	174	750
ENSGMOG00000007507	24299	26729	23102	16849	17052	21388	33014
ENSGMOG00000007512	546	430	368	389	266	38	299
ENSGMOG00000007517	1	2	4	0	0	0	6
ENSGMOG00000007528	1757	1505	302	1053	546	813	3000
ENSGMOG00000007531	221	436	336	303	228	290	864
ENSGMOG00000007538	90	58	78	23	56	73	93
ENSGMOG00000007548	7	0	3	0	0	2	0
ENSGMOG00000007554	6940	10730	6775	4488	4287	6531	12191
ENSGMOG00000007559	24	17	34	7	17	11	5
ENSGMOG00000007566	10	5	14	6	14	0	15
ENSGMOG00000007576	33	68	67	23	49	19	178
ENSGMOG00000007594	0	5	15	2	3	1	0
ENSGMOG00000007597	0	0	0	0	0	0	0
ENSGMOG00000007601	171	213	189	185	97	118	142
ENSGMOG00000007617	57	121	80	118	79	97	65
ENSGMOG00000007621	22	17	5	8	8	40	11
ENSGMOG00000007628	432	710	1389	495	753	242	1369
ENSGMOG00000007641	133	161	178	124	133	95	119
ENSGMOG00000021556	2	0	0	0	0	0	0
ENSGMOG00000007646	24	10	0	9	3	0	9
ENSGMOG00000007651	6593	8717	10765	12500	6012	8102	1985
ENSGMOG00000007657	2096	2967	2420	1929	1890	1022	2953
ENSGMOG00000007663	1	5	3	4	25	1	0
ENSGMOG00000007667	251	452	300	322	196	120	458
ENSGMOG00000007677	219	374	403	280	314	51	676
ENSGMOG00000007680	268	430	177	200	326	221	901
ENSGMOG00000007689	1124	1108	859	1105	944	445	1686
ENSGMOG00000007694	1962	2688	2028	1396	1467	1323	2690
ENSGMOG00000007702	25478	17475	13747	18702	6027	12932	29137
ENSGMOG00000007714	6	2	8	2	4	6	0
ENSGMOG00000007718	8	51	45	2	28	3	22
ENSGMOG00000007722	0	0	0	0	2	0	0
ENSGMOG00000007727	275	600	503	316	227	131	872
ENSGMOG00000007739	0	4	0	0	0	0	1
ENSGMOG00000007745	0	4	0	0	0	0	10
ENSGMOG00000007751	170	255	64	127	136	60	481
ENSGMOG00000007767	24	82	93	21	45	8	40
ENSGMOG00000007776	48	51	41	12	6	6	31
ENSGMOG00000020617	5	28	13	16	13	7	13
ENSGMOG00000007780	138	253	197	306	164	446	270
ENSGMOG00000007782	55	54	43	44	44	28	71
ENSGMOG00000007785	31	33	49	26	52	13	76
ENSGMOG00000007790	3526	3561	1706	1974	2065	988	1618
ENSGMOG00000007807	337	605	516	407	324	262	995
ENSGMOG00000007813	0	0	0	0	0	0	0
ENSGMOG00000007818	632	910	1323	800	232	69	322
ENSGMOG00000007822	1400	1900	1516	789	1098	870	311
ENSGMOG00000020344	1252	1701	1032	1459	939	1222	1108
ENSGMOG00000007827	6	9	17	4	11	13	8
ENSGMOG00000007829	121	283	233	288	213	185	386
ENSGMOG00000007833	65	156	125	91	90	88	229
ENSGMOG00000007839	6	4	2	5	10	7	0
ENSGMOG00000007843	209	457	227	636	268	94	167
ENSGMOG00000007854	0	0	0	1	0	0	0
ENSGMOG00000007860	855	1598	997	931	764	447	1798
ENSGMOG00000007871	460	569	704	667	490	205	557
ENSGMOG00000007878	189	371	383	246	321	469	489
ENSGMOG00000007885	1173	1391	1799	1059	1616	401	1168
ENSGMOG00000007894	43	39	93	1135	30	20	45
ENSGMOG00000012282	2693	3159	2114	1883	1882	1093	1958
ENSGMOG00000012286	38	83	40	53	41	7	57
ENSGMOG00000012289	45	96	35	58	68	12	86
ENSGMOG00000012292	1080	1793	1621	1381	1075	1697	2286
ENSGMOG00000012295	121	182	0	112	1	37	0
ENSGMOG00000020594	66	120	1	107	0	106	0
ENSGMOG00000012298	49	93	0	53	1	111	0
ENSGMOG00000012300	0	0	0	0	1	0	0
ENSGMOG00000012316	398	578	594	387	447	147	522
ENSGMOG00000012319	201	407	449	605	627	756	303
ENSGMOG00000012321	441	119	132	62	40	11	43
ENSGMOG00000012323	4538	1500	2001	1003	544	154	767
ENSGMOG00000012334	845	986	728	837	593	195	1125
ENSGMOG00000012335	879	1107	1030	848	472	153	1107
ENSGMOG00000012339	5	2	3	4	7	1	12
ENSGMOG00000012345	299	779	312	622	660	411	11338
ENSGMOG00000012349	1077	1259	1197	883	1015	1512	1688
ENSGMOG00000012351	1157	1834	2216	1678	1968	461	3317
ENSGMOG00000012363	52	92	21	30	24	62	52
ENSGMOG00000012366	846	898	900	802	791	274	2109
ENSGMOG00000012371	1267	1745	1162	1438	1078	367	1631
ENSGMOG00000012374	3459	3999	3298	3372	2835	2215	3866
ENSGMOG00000012378	2	1	7	4	10	0	1
ENSGMOG00000012382	317	562	657	359	359	195	1275
ENSGMOG00000012383	6348	7081	4288	2489	2399	1527	6083
ENSGMOG00000012390	9	2	12	9	5	7	13
ENSGMOG00000012401	648	1094	652	791	847	831	507
ENSGMOG00000012404	8	11	17	9	45	64	32
ENSGMOG00000012405	271	520	244	434	460	123	189
ENSGMOG00000012409	714	1255	967	607	737	276	1326
ENSGMOG00000012417	5	18	26	15	8	0	24
ENSGMOG00000012423	0	0	0	3	0	0	0
ENSGMOG00000012426	599	405	266	70	15	18	1459
ENSGMOG00000012440	569	57	56	88	13	38	25
ENSGMOG00000012442	0	0	1	2	0	0	3
ENSGMOG00000012445	65	88	22	26	28	14	30
ENSGMOG00000012452	970	958	830	1214	671	157	1351
ENSGMOG00000012456	172	218	285	127	133	72	552
ENSGMOG00000012461	1802	1972	1181	1555	993	713	2511
ENSGMOG00000012463	1001	1423	579	1768	694	1030	607
ENSGMOG00000012465	3577	3648	2264	3118	1553	967	4753
ENSGMOG00000012467	44	77	70	74	74	70	182
ENSGMOG00000012470	0	0	0	2	0	0	1
ENSGMOG00000012471	3729	3384	2381	1846	1496	348	3556
ENSGMOG00000012476	1217	1592	1630	1428	1112	265	2269
ENSGMOG00000012479	2	4	9	7	18	2	5
ENSGMOG00000012482	3	3	3	0	1	0	1
ENSGMOG00000012485	3	5	3	2	1	0	4
ENSGMOG00000012487	14	4	9	3	6	4	8
ENSGMOG00000012489	1424	1318	758	801	571	132	802
ENSGMOG00000012492	19239	31195	27920	22977	19150	24037	38795
ENSGMOG00000012494	1644	2190	3332	1209	2296	2547	1191
ENSGMOG00000012498	911	1054	725	621	554	224	1829
ENSGMOG00000012500	3912	1885	1677	2129	1413	491	668
ENSGMOG00000012502	1755	1315	1302	1261	813	190	1439
ENSGMOG00000012507	6759	6404	11757	7766	6666	3818	7071
ENSGMOG00000012510	1	0	0	0	0	0	1
ENSGMOG00000012512	211	286	223	146	157	94	124
ENSGMOG00000012513	6982	4259	2680	1444	1628	3629	713
ENSGMOG00000012514	0	4	2	4	1	9	7
ENSGMOG00000020725	0	0	0	0	0	0	0
ENSGMOG00000021692	12	24	17	10	26	25	26
ENSGMOG00000020595	18	34	13	16	14	9	21
ENSGMOG00000012516	1556	1310	1018	841	903	376	1876
ENSGMOG00000012521	1268	1010	1005	799	663	125	1660
ENSGMOG00000012522	1451	1226	1731	1034	1061	198	2008
ENSGMOG00000012526	0	4	1	4	0	0	1
ENSGMOG00000012527	682	263	669	511	186	74	541
ENSGMOG00000012529	1437	2267	1431	1139	1620	1943	1032
ENSGMOG00000012530	4315	6594	4734	5044	3308	1964	3047
ENSGMOG00000012532	2604	2944	2083	2136	1587	658	3059
ENSGMOG00000012534	614	1424	667	1401	618	99	406
ENSGMOG00000012537	180	191	163	170	320	282	163
ENSGMOG00000012538	1136	970	1209	532	612	404	956
ENSGMOG00000012540	369	471	467	724	600	121	672
ENSGMOG00000012541	0	0	0	738	767	0	2
ENSGMOG00000012542	40	244	500	68	764	328	16
ENSGMOG00000012546	4	7	24	2	3	1	1
ENSGMOG00000012549	0	0	0	0	0	0	0
ENSGMOG00000012550	0	0	0	0	0	0	0
ENSGMOG00000012553	9	26	8	0	8	0	9
ENSGMOG00000012555	41	16	20	55	31	20	126
ENSGMOG00000005485	886	1217	981	1057	769	432	1161
ENSGMOG00000005505	152	108	96	81	121	42	132
ENSGMOG00000005518	17	52	26	4	6	19	53
ENSGMOG00000005533	2	4	0	0	3	0	0
ENSGMOG00000005556	8	14	37	6	9	5	23
ENSGMOG00000005572	518	748	635	377	364	100	376
ENSGMOG00000005582	116	105	106	14	15	0	155
ENSGMOG00000005595	1821	10316	5221	8029	11814	5417	29
ENSGMOG00000005607	1005	1131	617	815	628	303	1656
ENSGMOG00000005626	208	167	126	231	134	105	368
ENSGMOG00000005653	327	465	289	348	280	169	1154
ENSGMOG00000005670	18	14	10	8	21	7	18
ENSGMOG00000005702	0	0	6	9	0	0	0
ENSGMOG00000005738	0	0	0	0	0	2	0
ENSGMOG00000005763	3109	3982	16070	9898	9169	5517	3949
ENSGMOG00000005793	1714	2288	3624	2009	2018	1204	2380
ENSGMOG00000005842	37370	27580	55269	33875	63265	119793	39902
ENSGMOG00000005855	7	6	127	4	26	26	7
ENSGMOG00000005888	167	362	1028	112	295	238	11
ENSGMOG00000005919	1723	2456	3088	1482	1543	653	2808
ENSGMOG00000005956	1725	1375	1323	682	1251	1365	1294
ENSGMOG00000005974	543	731	684	599	527	470	1157
ENSGMOG00000005990	348	498	347	306	365	181	710
ENSGMOG00000006002	680	634	643	385	437	89	848
ENSGMOG00000006053	0	3	11	0	1	0	0
