ID	sample_10	sample_23	sample_29	sample_36	sample_42	sample_49
ENSGMOG00000006458	1081	627	556	431	943	1094
ENSGMOG00000006474	0	0	0	0	0	0
ENSGMOG00000006494	3	1	2	8	22	26
ENSGMOG00000006502	0	0	0	0	0	0
ENSGMOG00000006511	0	0	0	0	0	0
ENSGMOG00000006521	2177	1316	1307	880	1464	1816
ENSGMOG00000006539	0	0	0	0	0	0
ENSGMOG00000006545	5566	2422	4463	2434	4714	6672
ENSGMOG00000006599	0	0	0	0	0	2
ENSGMOG00000006609	6	13	14	21	2	3
ENSGMOG00000006616	21	8	8	16	23	21
ENSGMOG00000006625	873	283	549	342	1129	1426
ENSGMOG00000006631	104	11	60	70	38	46
ENSGMOG00000006649	13	1	10	6	12	7
ENSGMOG00000006663	47	8	29	32	60	33
ENSGMOG00000006668	636	185	341	233	380	460
ENSGMOG00000006724	197	68	280	167	99	146
ENSGMOG00000006758	299	176	222	158	214	261
ENSGMOG00000006772	876	1043	1726	1469	647	618
ENSGMOG00000006774	42	11	53	31	67	56
ENSGMOG00000006780	100	20	70	31	106	110
ENSGMOG00000006787	22	16	22	17	45	35
ENSGMOG00000006790	453	274	232	182	331	380
ENSGMOG00000006832	985	550	525	386	898	1067
ENSGMOG00000007041	127	20	91	76	121	102
ENSGMOG00000007051	337	176	213	131	159	168
ENSGMOG00000007067	58	40	25	34	23	12
ENSGMOG00000007079	1265	676	798	850	501	606
ENSGMOG00000007147	1807	1221	1193	1276	1060	1167
ENSGMOG00000007217	7	6	7	12	1	4
ENSGMOG00000007132	279	120	190	143	113	298
ENSGMOG00000007143	4	0	1	2	0	0
ENSGMOG00000007164	0	0	0	0	0	0
ENSGMOG00000007175	1	0	3	0	0	0
ENSGMOG00000007184	2	0	0	0	0	0
ENSGMOG00000007187	121	54	61	79	68	65
ENSGMOG00000007195	199	179	233	173	335	254
ENSGMOG00000007199	46792	11200	25135	19847	64396	51343
ENSGMOG00000007205	124	178	315	455	250	169
ENSGMOG00000007220	1798	1079	844	896	1155	1120
ENSGMOG00000007223	627	583	461	532	1380	828
ENSGMOG00000007225	75	416	175	231	36	66
ENSGMOG00000007234	43	7	24	12	16	28
ENSGMOG00000007261	5122	3852	4337	3504	4414	4728
ENSGMOG00000007291	37	18	35	32	40	43
ENSGMOG00000007296	38	21	35	18	43	41
ENSGMOG00000007304	1061	3990	2103	1832	734	1097
ENSGMOG00000007312	1040	905	763	417	748	1159
ENSGMOG00000007318	324	134	196	93	261	313
ENSGMOG00000007327	286	101	228	124	154	278
ENSGMOG00000007329	276	204	271	138	169	319
ENSGMOG00000007336	1774	732	1521	734	1332	1713
ENSGMOG00000007377	4814	5899	5245	5043	2903	2793
ENSGMOG00000007396	301	109	141	101	292	505
ENSGMOG00000007400	177	116	195	231	102	107
ENSGMOG00000007412	1597	786	1071	766	1060	1636
ENSGMOG00000007433	4155	1067	672	907	1883	1368
ENSGMOG00000007443	3813	1873	1947	1361	2722	2740
ENSGMOG00000007451	6	18	20	17	1	0
ENSGMOG00000007453	103	22	62	43	88	102
ENSGMOG00000007461	2828	1334	731	356	2373	3831
ENSGMOG00000007472	113	84	106	46	67	115
ENSGMOG00000007485	57	95	156	52	59	45
ENSGMOG00000007497	388	221	469	282	320	512
ENSGMOG00000007507	28766	15449	21076	18117	20658	25209
ENSGMOG00000007512	557	257	300	259	216	282
ENSGMOG00000007517	4	0	5	2	0	2
ENSGMOG00000007528	3605	911	732	1193	4333	2882
ENSGMOG00000007531	711	222	249	206	632	816
ENSGMOG00000007538	121	17	89	51	57	76
ENSGMOG00000007548	0	0	2	1	0	0
ENSGMOG00000007554	9748	6029	4556	3877	7934	9926
ENSGMOG00000007559	13	9	15	11	4	4
ENSGMOG00000007566	12	4	19	1	12	24
ENSGMOG00000007576	124	18	36	28	112	154
ENSGMOG00000007594	0	3	1	5	0	0
ENSGMOG00000007597	0	0	0	0	0	0
ENSGMOG00000007601	211	185	75	128	81	151
ENSGMOG00000007617	107	74	139	90	33	32
ENSGMOG00000007621	17	4	12	17	9	17
ENSGMOG00000007628	670	375	846	479	580	623
ENSGMOG00000007641	129	76	121	120	128	125
ENSGMOG00000021556	0	0	0	1	0	0
ENSGMOG00000007646	9	6	1	1	1	10
ENSGMOG00000007651	6616	12167	7752	10832	1481	2093
ENSGMOG00000007657	2643	1488	2393	2099	1823	2469
ENSGMOG00000007663	3	0	8	3	0	1
ENSGMOG00000007667	421	261	282	171	309	419
ENSGMOG00000007677	325	154	427	156	273	322
ENSGMOG00000007680	683	173	257	213	587	880
ENSGMOG00000007689	1293	1162	952	660	1384	1523
ENSGMOG00000007694	2892	1486	1712	1857	1239	1420
ENSGMOG00000007702	25261	21306	7465	12265	21897	22154
ENSGMOG00000007714	10	0	7	2	1	1
ENSGMOG00000007718	47	3	24	16	29	20
ENSGMOG00000007722	0	0	2	2	0	0
ENSGMOG00000007727	821	281	367	353	689	751
ENSGMOG00000007739	1	3	0	1	1	0
ENSGMOG00000007745	11	2	0	2	6	1
ENSGMOG00000007751	379	106	148	145	290	415
ENSGMOG00000007767	59	4	61	64	24	41
ENSGMOG00000007776	62	11	16	19	25	22
ENSGMOG00000020617	10	14	27	19	3	17
ENSGMOG00000007780	227	225	175	384	147	234
ENSGMOG00000007782	91	16	34	41	44	62
ENSGMOG00000007785	76	19	36	32	57	40
ENSGMOG00000007790	2669	1378	2829	2739	1133	1377
ENSGMOG00000007807	815	388	369	324	630	903
ENSGMOG00000007813	0	0	0	0	0	0
ENSGMOG00000007818	938	811	347	376	407	246
ENSGMOG00000007822	1246	467	1392	1914	250	289
ENSGMOG00000020344	1565	1234	1352	1117	1014	1228
ENSGMOG00000007827	20	13	6	9	13	21
ENSGMOG00000007829	376	217	197	100	238	344
ENSGMOG00000007833	212	56	136	79	158	175
ENSGMOG00000007839	7	0	4	4	4	5
ENSGMOG00000007843	393	432	347	252	198	159
ENSGMOG00000007854	1	0	0	0	1	0
ENSGMOG00000007860	1739	681	1021	651	1008	1216
ENSGMOG00000007871	503	467	509	525	411	591
ENSGMOG00000007878	464	172	389	432	337	456
ENSGMOG00000007885	1202	808	1876	751	882	850
ENSGMOG00000007894	31	1149	64	62	27	24
ENSGMOG00000012282	3790	1736	2496	2297	1428	2769
ENSGMOG00000012286	35	15	38	30	40	67
ENSGMOG00000012289	63	20	56	33	42	55
ENSGMOG00000012292	2342	1317	1371	1190	2371	2408
ENSGMOG00000012295	126	77	2	251	1	4
ENSGMOG00000020594	110	104	1	195	0	0
ENSGMOG00000012298	95	59	0	128	1	1
ENSGMOG00000012300	0	0	1	0	0	0
ENSGMOG00000012316	469	272	494	420	424	486
ENSGMOG00000012319	296	488	725	974	197	171
ENSGMOG00000012321	67	35	54	33	48	45
ENSGMOG00000012323	1148	725	910	547	687	796
ENSGMOG00000012334	1208	745	785	432	866	924
ENSGMOG00000012335	1434	669	600	413	854	938
ENSGMOG00000012339	1	4	3	2	1	5
ENSGMOG00000012345	1314	403	784	444	1061	12123
ENSGMOG00000012349	1402	850	1124	948	1091	1383
ENSGMOG00000012351	2021	1244	2355	1965	2172	2808
ENSGMOG00000012363	127	30	31	31	44	36
ENSGMOG00000012366	1377	713	942	511	1408	1780
ENSGMOG00000012371	1639	1214	1376	876	1153	1303
ENSGMOG00000012374	4493	2897	3128	2765	3030	3415
ENSGMOG00000012378	7	3	6	2	2	5
ENSGMOG00000012382	873	244	499	315	939	1086
ENSGMOG00000012383	8521	2387	3253	3065	3014	5140
ENSGMOG00000012390	5	2	1	9	9	5
ENSGMOG00000012401	855	713	854	974	174	357
ENSGMOG00000012404	21	13	35	25	25	8
ENSGMOG00000012405	358	211	670	323	118	132
ENSGMOG00000012409	1203	464	1032	660	810	1049
ENSGMOG00000012417	12	15	16	14	10	15
ENSGMOG00000012423	0	0	0	0	0	0
ENSGMOG00000012426	515	109	33	110	477	759
ENSGMOG00000012440	55	123	10	24	14	21
ENSGMOG00000012442	0	1	0	0	0	0
ENSGMOG00000012445	80	16	42	35	26	21
ENSGMOG00000012452	1511	1054	847	686	1257	1190
ENSGMOG00000012456	495	128	165	153	465	563
ENSGMOG00000012461	2124	1410	1174	1038	1621	2191
ENSGMOG00000012463	1192	1425	619	742	479	646
ENSGMOG00000012465	5035	3092	2040	1357	3973	4002
ENSGMOG00000012467	121	88	81	65	82	138
ENSGMOG00000012470	4	2	0	0	1	1
ENSGMOG00000012471	4359	1307	2090	1811	2310	2553
ENSGMOG00000012476	1960	1032	1309	792	1477	1988
ENSGMOG00000012479	2	2	12	2	4	12
ENSGMOG00000012482	1	2	0	2	0	4
ENSGMOG00000012485	1	1	1	3	2	1
ENSGMOG00000012487	14	1	5	2	7	3
ENSGMOG00000012489	1314	698	769	557	822	795
ENSGMOG00000012492	26621	22110	26917	20423	50379	41139
ENSGMOG00000012494	1316	1329	2442	3639	1224	1019
ENSGMOG00000012498	1159	560	678	473	1495	1635
ENSGMOG00000012500	1173	1310	2204	750	767	713
ENSGMOG00000012502	1462	954	1063	707	1026	1346
ENSGMOG00000012507	5828	7142	7945	4878	2709	4695
ENSGMOG00000012510	0	0	5	0	0	0
ENSGMOG00000012512	339	148	137	154	86	144
ENSGMOG00000012513	6304	2438	2586	4913	1193	1305
ENSGMOG00000012514	2	9	6	9	1	10
ENSGMOG00000020725	0	0	2	0	0	0
ENSGMOG00000021692	44	7	16	19	45	21
ENSGMOG00000020595	42	10	18	3	25	28
ENSGMOG00000012516	1548	554	1091	630	1053	1525
ENSGMOG00000012521	1516	714	784	473	1156	1662
ENSGMOG00000012522	1516	668	1404	962	1235	1496
ENSGMOG00000012526	5	2	0	0	0	1
ENSGMOG00000012527	313	395	227	224	584	487
ENSGMOG00000012529	1659	872	1814	2251	825	864
ENSGMOG00000012530	4958	3614	4353	4966	3107	3261
ENSGMOG00000012532	3095	1803	2017	1930	2517	2952
ENSGMOG00000012534	963	822	1058	1036	296	470
ENSGMOG00000012537	178	169	363	359	107	184
ENSGMOG00000012538	1114	476	699	873	907	804
ENSGMOG00000012540	606	525	683	268	446	617
ENSGMOG00000012541	0	566	802	1	0	0
ENSGMOG00000012542	152	19	465	225	79	25
ENSGMOG00000012546	11	1	8	7	4	0
ENSGMOG00000012549	0	0	0	0	0	0
ENSGMOG00000012550	0	0	0	0	0	0
ENSGMOG00000012553	40	2	17	0	16	4
ENSGMOG00000012555	46	45	37	32	47	83
ENSGMOG00000005485	1316	838	1022	1078	889	976
ENSGMOG00000005505	216	61	213	163	72	137
ENSGMOG00000005518	103	3	9	6	14	34
ENSGMOG00000005533	2	1	0	1	0	0
ENSGMOG00000005556	17	12	27	5	12	34
ENSGMOG00000005572	474	372	456	135	250	223
ENSGMOG00000005582	81	7	12	1	47	65
ENSGMOG00000005595	7537	4464	13087	13814	28	17
ENSGMOG00000005607	1410	704	697	470	1177	1564
ENSGMOG00000005626	233	208	190	119	177	348
ENSGMOG00000005653	712	256	273	167	829	1131
ENSGMOG00000005670	28	3	6	10	16	31
ENSGMOG00000005702	1	0	0	0	0	0
ENSGMOG00000005738	0	0	0	1	0	0
ENSGMOG00000005763	4432	8753	10733	8627	2766	2506
ENSGMOG00000005793	2700	1671	2503	1706	1716	2125
ENSGMOG00000005842	27910	36364	72377	77868	17840	30968
ENSGMOG00000005855	11	0	37	94	3	7
ENSGMOG00000005888	121	78	386	631	9	10
ENSGMOG00000005919	2664	1108	1815	1675	1740	2607
ENSGMOG00000005956	1174	678	1263	1115	824	1007
ENSGMOG00000005974	830	534	587	430	780	972
ENSGMOG00000005990	648	311	312	237	552	583
ENSGMOG00000006002	750	327	504	475	404	786
ENSGMOG00000006053	6	1	2	3	9	0
ENSGMOG00000006061	123	64	62	51	9	1
ENSGMOG00000006071	379	99	479	376	151	29
ENSGMOG00000006078	2425	2470	3536	3259	1902	2023
ENSGMOG00000006114	683	381	573	373	315	405
ENSGMOG00000006149	52	36	98	9	47	17
ENSGMOG00000006171	3136	1237	2830	1138	2258	3023
ENSGMOG00000006210	287	913	301	205	84	344
ENSGMOG00000006238	13	11	14	10	1	6
ENSGMOG00000006249	247	306	764	407	70	50
ENSGMOG00000006267	660	356	466	331	447	579
ENSGMOG00000006293	894	400	462	375	727	916
ENSGMOG00000006308	2	0	3	1	0	1
ENSGMOG00000006321	246	279	160	124	89	45
ENSGMOG00000006328	244	48	242	316	23	24
ENSGMOG00000006350	6	3	4	2	0	3
ENSGMOG00000006369	5	0	0	1	0	0
ENSGMOG00000006397	13	10	47	63	14	14
ENSGMOG00000006411	2989	1482	2018	1730	1886	2350
ENSGMOG00000006428	0	0	0	1	0	0
ENSGMOG00000006439	644	809	1049	1154	228	387
ENSGMOG00000006452	0	0	2	0	1	0
ENSGMOG00000006465	283	393	366	265	225	217
ENSGMOG00000006472	589	557	431	305	161	157
ENSGMOG00000006481	974	248	141	330	117	187
ENSGMOG00000006525	451	120	93	131	54	93
ENSGMOG00000006562	155	29	56	110	111	61
ENSGMOG00000006574	13396	6800	7540	6862	6176	8956
ENSGMOG00000006620	569	205	946	345	466	265
ENSGMOG00000020453	39	1	15	5	21	18
ENSGMOG00000006644	284	137	190	142	391	371
ENSGMOG00000006653	5	0	1	1	0	1
ENSGMOG00000006662	813	428	558	341	737	986
ENSGMOG00000006678	390	326	748	436	254	322
ENSGMOG00000006694	2	1	12	6	4	6
ENSGMOG00000006718	0	0	3	0	0	2
ENSGMOG00000006726	0	0	2	0	0	0
ENSGMOG00000006756	0	0	0	0	0	0
ENSGMOG00000006784	0	0	0	0	0	0
ENSGMOG00000006794	275	106	176	111	77	275
ENSGMOG00000006828	1238	866	775	831	135	196
ENSGMOG00000006874	2679	823	1498	884	2302	2924
ENSGMOG00000006952	3965	1618	2994	2376	2363	3298
ENSGMOG00000007009	288	79	164	85	224	496
ENSGMOG00000001240	14	1	0	0	1	1
ENSGMOG00000001312	0	0	0	0	0	0
ENSGMOG00000019951	11	2	7	13	22	12
ENSGMOG00000001318	1	4	10	1	4	1
ENSGMOG00000001463	12	1	1	2	9	1
ENSGMOG00000001489	5507	2145	1942	2641	3950	3251
ENSGMOG00000001525	6	0	0	0	0	3
ENSGMOG00000001551	0	0	0	0	0	0
ENSGMOG00000001576	1	3	10	15	1	0
ENSGMOG00000001631	1592	640	1633	847	1391	1174
ENSGMOG00000001656	137	28	87	24	45	72
ENSGMOG00000001768	167	42	42	34	73	138
ENSGMOG00000001785	289	94	61	45	43	94
ENSGMOG00000001838	2150	647	1070	660	2120	3039
ENSGMOG00000001945	800	825	1118	1199	416	637
ENSGMOG00000001963	34	7	28	4	28	44
ENSGMOG00000022086	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0
ENSGMOG00000001991	0	0	2	1	2	0
ENSGMOG00000019955	0	0	4	1	1	1
ENSGMOG00000002003	439	517	424	259	167	287
ENSGMOG00000002007	32	102	159	60	43	67
ENSGMOG00000002029	10	3	0	3	8	2
ENSGMOG00000002062	1971	667	678	504	1593	1666
ENSGMOG00000002080	1616	584	777	689	1225	1397
ENSGMOG00000002131	149	97	61	108	158	200
ENSGMOG00000002155	1205	684	1053	161	1104	1726
ENSGMOG00000002187	1095	1445	2356	2116	759	636
ENSGMOG00000002225	102389	63590	69063	46771	71240	68460
ENSGMOG00000002244	856	4408	798	1019	427	542
ENSGMOG00000002269	0	5	4	3	1	4
ENSGMOG00000002293	0	1	3	3	0	2
ENSGMOG00000002305	1413	858	1153	935	879	1129
ENSGMOG00000002345	898	326	509	431	594	849
ENSGMOG00000002390	383	132	258	204	142	213
ENSGMOG00000002400	320	169	330	390	215	328
ENSGMOG00000002409	1330	770	1046	928	1282	1208
ENSGMOG00000002435	5256	3649	4948	6478	3412	3433
ENSGMOG00000002510	609	380	387	343	287	201
ENSGMOG00000002524	1160	835	1054	760	358	519
ENSGMOG00000002535	105	127	5	43	16	16
ENSGMOG00000002545	32652	11923	2220	1551	15342	40125
ENSGMOG00000002552	222	641	287	271	180	389
ENSGMOG00000002562	1399	475	915	478	1673	2115
ENSGMOG00000002587	26	5	26	10	21	26
ENSGMOG00000002593	9	7	21	10	8	5
ENSGMOG00000002677	362	95	147	182	401	570
ENSGMOG00000002709	728	963	896	690	739	721
ENSGMOG00000002739	0	0	0	0	0	0
ENSGMOG00000002743	401	139	364	161	178	243
ENSGMOG00000002826	1830	1154	2248	1336	1164	1782
ENSGMOG00000002854	0	0	3	0	0	0
ENSGMOG00000002863	0	0	0	0	0	3
ENSGMOG00000002886	100	35	27	24	73	98
ENSGMOG00000002950	1273	767	1069	665	645	1178
ENSGMOG00000004976	1008	724	610	256	782	2374
ENSGMOG00000004983	1	0	0	2	0	0
ENSGMOG00000004992	231	211	297	219	125	185
ENSGMOG00000005009	602	524	745	508	423	517
ENSGMOG00000005048	1	1	3	11	3	0
ENSGMOG00000005068	0	0	0	0	0	0
ENSGMOG00000005073	0	0	2	3	4	2
ENSGMOG00000005099	274	155	175	169	287	220
