ID	sample_4	sample_9	sample_15	sample_21	sample_34	sample_40	sample_47
ENSGMOG00000006954	44	33	62	18	19	19	60
ENSGMOG00000006958	472	201	120	316	69	265	227
ENSGMOG00000006967	0	3	2	0	0	0	0
ENSGMOG00000006974	12601	10178	4536	6206	7724	15577	11715
ENSGMOG00000006987	1	57	10	16	7	3	3
ENSGMOG00000006992	1	0	0	1	0	0	3
ENSGMOG00000007000	4960	7589	72	1113	152	6358	1013
ENSGMOG00000007035	65	90	44	71	52	51	83
ENSGMOG00000007044	1430	1502	1012	1546	1772	1899	2161
ENSGMOG00000007050	424	438	585	663	546	571	438
ENSGMOG00000005536	244	678	584	642	449	315	193
ENSGMOG00000005565	509	1467	190	597	210	7882	25118
ENSGMOG00000005590	1007	885	422	920	793	1583	1509
ENSGMOG00000005625	333	296	382	343	274	857	700
ENSGMOG00000005633	23	46	34	34	5	19	70
ENSGMOG00000005648	0	1	0	2	0	1	6
ENSGMOG00000005652	1730	3985	4750	3101	3265	3510	3530
ENSGMOG00000005676	166	32	15	5	12	32	7
ENSGMOG00000005698	52	59	2	24	97	28	14
ENSGMOG00000005753	1562	1382	923	1393	1033	4010	3119
ENSGMOG00000005773	957	643	433	571	985	566	427
ENSGMOG00000005794	4793	916	4480	1339	593	4054	3324
ENSGMOG00000005808	570	451	458	520	324	898	781
ENSGMOG00000005838	7	28	3	2	9	7	5
ENSGMOG00000005866	420	314	158	65	319	26	44
ENSGMOG00000005931	5	10	24	6	3	0	4
ENSGMOG00000005989	0	0	3	0	2	0	0
ENSGMOG00000005992	158	172	181	225	166	97	155
ENSGMOG00000006011	3	1	6	0	0	2	8
ENSGMOG00000006023	237	167	201	164	156	562	522
ENSGMOG00000006041	2239	3181	2937	2217	3079	2545	2740
ENSGMOG00000006066	872	689	938	561	753	762	918
ENSGMOG00000006097	1612	1449	1880	2804	2355	1766	1150
ENSGMOG00000006108	0	2	6	1	3	1	2
ENSGMOG00000006125	0	0	0	0	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0	0
ENSGMOG00000006155	445	165	431	139	40	120	200
ENSGMOG00000006181	0	0	0	0	2	2	0
ENSGMOG00000006190	0	0	2	0	0	0	1
ENSGMOG00000006241	758	635	450	264	554	677	1383
ENSGMOG00000006322	107	138	86	106	94	454	427
ENSGMOG00000006338	32	218	32	18	417	5	19
ENSGMOG00000006344	1147	1039	650	543	1054	1252	2134
ENSGMOG00000006403	418	527	276	233	314	373	470
ENSGMOG00000006419	1251	1015	991	1335	994	1597	1739
ENSGMOG00000006429	80	21	35	13	5	77	36
ENSGMOG00000006458	630	461	544	812	470	1391	1223
ENSGMOG00000006474	0	0	0	0	0	0	0
ENSGMOG00000006494	14	3	3	2	2	23	44
ENSGMOG00000006502	0	0	0	0	2	0	0
ENSGMOG00000006511	0	0	0	1	1	0	1
ENSGMOG00000006521	1586	1235	1127	1689	894	1920	1855
ENSGMOG00000006539	0	0	0	0	0	1	1
ENSGMOG00000006545	8183	3086	2245	1762	1414	2421	4745
ENSGMOG00000006599	7	1	0	0	0	0	0
ENSGMOG00000006609	9	6	0	10	17	1	4
ENSGMOG00000006616	5	12	0	5	4	13	9
ENSGMOG00000006625	355	320	270	261	394	1679	1502
ENSGMOG00000006631	34	39	13	7	38	6	39
ENSGMOG00000006649	21	7	14	3	1	2	15
ENSGMOG00000006663	52	24	33	5	21	30	36
ENSGMOG00000006668	271	270	263	141	193	183	371
ENSGMOG00000006724	175	129	63	53	82	35	139
ENSGMOG00000006758	291	190	161	95	101	147	265
ENSGMOG00000006772	399	734	1441	1289	1531	808	654
ENSGMOG00000006774	18	17	19	16	33	52	81
ENSGMOG00000006780	45	36	27	26	27	75	98
ENSGMOG00000006787	15	5	16	3	4	28	21
ENSGMOG00000006790	292	203	283	284	215	428	517
ENSGMOG00000006832	635	475	595	600	401	856	899
ENSGMOG00000007041	127	56	59	54	42	135	88
ENSGMOG00000007051	139	166	104	230	99	259	187
ENSGMOG00000007067	18	56	7	24	37	37	15
ENSGMOG00000007079	576	818	524	648	865	785	614
ENSGMOG00000007147	1214	1556	702	1248	919	1202	982
ENSGMOG00000007217	1	4	5	4	11	1	0
ENSGMOG00000007132	139	120	158	106	156	160	254
ENSGMOG00000007143	6	5	1	1	0	0	0
ENSGMOG00000007164	0	0	0	0	0	0	1
ENSGMOG00000007175	1	1	0	3	0	4	2
ENSGMOG00000007184	0	0	0	0	0	0	0
ENSGMOG00000007187	43	63	50	51	39	69	80
ENSGMOG00000007195	605	79	237	280	158	405	266
ENSGMOG00000007199	78748	35341	42511	14103	21787	72735	60206
ENSGMOG00000007205	102	176	389	230	551	263	155
ENSGMOG00000007220	1074	1033	815	1174	978	1390	1242
ENSGMOG00000007223	573	415	599	793	516	1955	815
ENSGMOG00000007225	54	74	314	537	193	58	73
ENSGMOG00000007234	12	6	16	5	11	21	36
ENSGMOG00000007261	3639	3604	2441	4728	2690	4178	4287
ENSGMOG00000007291	25	21	46	36	8	57	22
ENSGMOG00000007296	25	20	42	42	10	78	49
ENSGMOG00000007304	858	1040	2451	5324	1863	830	1397
ENSGMOG00000007312	1376	517	1095	905	445	1137	948
ENSGMOG00000007318	223	151	227	182	116	410	288
ENSGMOG00000007327	106	128	112	82	83	82	307
ENSGMOG00000007329	108	168	96	117	72	82	268
ENSGMOG00000007336	1502	1034	700	549	465	550	1584
ENSGMOG00000007377	4283	5230	4608	7156	4624	3377	3119
ENSGMOG00000007396	184	160	154	125	67	440	399
ENSGMOG00000007400	122	161	57	64	161	60	93
ENSGMOG00000007412	1089	895	768	493	582	501	1384
ENSGMOG00000007433	3493	2641	336	1082	434	1554	1069
ENSGMOG00000007443	3494	2073	1436	2124	1446	3581	2613
ENSGMOG00000007451	21	8	3	11	2	2	1
ENSGMOG00000007453	125	80	51	38	32	118	97
ENSGMOG00000007461	2770	1167	314	1460	397	2513	3379
ENSGMOG00000007472	79	83	82	104	33	108	117
ENSGMOG00000007485	32	56	95	92	52	122	46
ENSGMOG00000007497	356	224	340	319	243	538	432
ENSGMOG00000007507	23112	16810	21226	17116	19545	22228	30337
ENSGMOG00000007512	538	387	143	190	145	87	251
ENSGMOG00000007517	1	2	2	2	0	5	6
ENSGMOG00000007528	1802	2197	159	1032	1203	4096	3797
ENSGMOG00000007531	296	234	333	273	250	841	874
ENSGMOG00000007538	107	76	20	11	67	74	79
ENSGMOG00000007548	12	0	40	0	0	0	0
ENSGMOG00000007554	5850	7644	7619	6764	5095	10518	11844
ENSGMOG00000007559	13	10	36	8	18	2	8
ENSGMOG00000007566	5	3	15	0	0	14	12
ENSGMOG00000007576	45	32	36	8	22	105	122
ENSGMOG00000007594	0	4	0	0	2	1	2
ENSGMOG00000007597	0	0	0	0	0	0	0
ENSGMOG00000007601	210	138	135	186	128	168	121
ENSGMOG00000007617	58	96	35	94	108	66	48
ENSGMOG00000007621	17	19	15	15	38	10	11
ENSGMOG00000007628	569	505	985	428	343	720	893
ENSGMOG00000007641	94	94	119	89	111	109	105
ENSGMOG00000021556	1	0	0	0	6	0	0
ENSGMOG00000007646	42	2	5	5	1	0	19
ENSGMOG00000007651	4865	7236	7817	14368	11848	2168	2060
ENSGMOG00000007657	1643	1720	1418	1459	1880	1755	2803
ENSGMOG00000007663	3	1	3	1	6	0	5
ENSGMOG00000007667	244	272	131	363	172	437	404
ENSGMOG00000007677	217	311	252	182	123	156	377
ENSGMOG00000007680	359	242	161	224	223	851	853
ENSGMOG00000007689	1122	728	736	1310	687	1993	1333
ENSGMOG00000007694	1819	2080	1865	1944	1764	1682	1892
ENSGMOG00000007702	26344	20248	12759	26712	12785	28152	20626
ENSGMOG00000007714	1	3	0	2	2	0	2
ENSGMOG00000007718	8	32	16	7	30	30	30
ENSGMOG00000007722	0	0	0	0	0	0	1
ENSGMOG00000007727	386	423	270	230	247	533	749
ENSGMOG00000007739	0	0	0	0	0	0	1
ENSGMOG00000007745	0	10	0	9	0	3	1
ENSGMOG00000007751	186	150	50	90	94	358	384
ENSGMOG00000007767	26	41	30	5	44	11	39
ENSGMOG00000007776	43	34	17	11	16	25	33
ENSGMOG00000020617	19	9	7	4	10	0	10
ENSGMOG00000007780	131	124	120	200	358	221	254
ENSGMOG00000007782	39	64	21	24	27	35	66
ENSGMOG00000007785	46	23	17	18	24	59	46
ENSGMOG00000007790	2667	2325	939	883	1873	577	1188
ENSGMOG00000007807	408	305	565	465	334	933	905
ENSGMOG00000007813	1	1	0	1	0	0	1
ENSGMOG00000007818	749	353	655	784	229	309	389
ENSGMOG00000007822	822	1139	675	267	1325	169	224
ENSGMOG00000020344	1154	1137	894	1377	1077	1549	1167
ENSGMOG00000007827	9	20	13	14	11	17	21
ENSGMOG00000007829	160	171	177	242	99	381	350
ENSGMOG00000007833	142	93	117	76	62	210	177
ENSGMOG00000007839	2	7	1	0	14	0	1
ENSGMOG00000007843	158	353	88	481	161	225	124
ENSGMOG00000007854	0	0	0	1	0	0	0
ENSGMOG00000007860	727	1268	422	616	463	821	1530
ENSGMOG00000007871	372	417	387	600	381	435	490
ENSGMOG00000007878	207	186	212	219	452	410	399
ENSGMOG00000007885	1551	665	1388	921	872	1042	1064
ENSGMOG00000007894	41	28	56	1242	35	22	42
ENSGMOG00000012282	2636	2884	1095	1373	1857	1425	2597
ENSGMOG00000012286	57	35	22	46	11	39	46
ENSGMOG00000012289	62	40	33	39	25	52	51
ENSGMOG00000012292	1208	1122	1213	1677	1328	3205	2604
ENSGMOG00000012295	107	128	2	104	136	0	1
ENSGMOG00000020594	76	97	0	112	125	0	0
ENSGMOG00000012298	62	80	2	52	134	0	0
ENSGMOG00000012300	0	0	0	0	0	0	0
ENSGMOG00000012316	450	358	399	245	339	333	344
ENSGMOG00000012319	214	332	287	459	977	179	268
ENSGMOG00000012321	616	52	29	32	25	19	34
ENSGMOG00000012323	5856	641	1024	465	327	334	756
ENSGMOG00000012334	901	697	495	914	402	1094	1100
ENSGMOG00000012335	762	908	500	859	390	964	895
ENSGMOG00000012339	3	8	3	3	1	0	7
ENSGMOG00000012345	416	492	215	365	347	1641	7960
ENSGMOG00000012349	1126	898	1226	1004	1029	1564	1505
ENSGMOG00000012351	1344	1336	1142	901	1314	1459	2831
ENSGMOG00000012363	53	63	24	52	22	38	51
ENSGMOG00000012366	1078	682	539	847	479	1465	1934
ENSGMOG00000012371	1245	1009	751	1553	696	1718	1184
ENSGMOG00000012374	3316	2896	2891	2961	2771	3099	3155
ENSGMOG00000012378	1	2	0	0	5	1	5
ENSGMOG00000012382	484	355	383	296	247	1154	1053
ENSGMOG00000012383	5240	5476	2435	1868	2435	2192	4552
ENSGMOG00000012390	3	5	4	0	6	4	10
ENSGMOG00000012401	572	703	461	578	925	303	354
ENSGMOG00000012404	6	11	32	3	45	31	21
ENSGMOG00000012405	154	394	115	135	249	84	149
ENSGMOG00000012409	632	852	550	329	555	424	1144
ENSGMOG00000012417	10	11	14	6	0	4	15
ENSGMOG00000012423	0	0	0	0	0	0	0
ENSGMOG00000012426	1008	120	242	75	31	249	1554
ENSGMOG00000012440	51	24	32	197	27	17	17
ENSGMOG00000012442	0	0	0	0	0	0	0
ENSGMOG00000012445	63	38	8	8	19	20	32
ENSGMOG00000012452	1106	934	556	1374	550	1414	1208
ENSGMOG00000012456	163	166	101	79	148	337	481
ENSGMOG00000012461	1868	1232	1204	1560	966	2274	2144
ENSGMOG00000012463	936	1030	569	1547	912	762	559
ENSGMOG00000012465	4175	2977	1816	3603	1252	4954	4452
ENSGMOG00000012467	89	57	81	91	24	182	121
ENSGMOG00000012470	2	7	1	4	5	5	1
ENSGMOG00000012471	2760	2937	926	862	967	721	2033
ENSGMOG00000012476	1508	1020	845	1018	596	1062	1733
ENSGMOG00000012479	3	4	1	6	2	6	11
ENSGMOG00000012482	7	1	2	6	0	2	0
ENSGMOG00000012485	1	4	6	0	4	0	0
ENSGMOG00000012487	17	3	6	1	4	8	3
ENSGMOG00000012489	1424	1011	449	793	444	943	788
