ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000005794	2956	2198	1217	917	564	915
ENSGMOG00000005808	1189	673	477	623	544	80
ENSGMOG00000005838	30	2	12	0	5	0
ENSGMOG00000005866	185	131	43	76	298	8
ENSGMOG00000005931	6	6	5	5	6	0
ENSGMOG00000005989	0	0	0	0	0	0
ENSGMOG00000005992	243	165	253	158	266	22
ENSGMOG00000006011	3	2	4	0	1	9
ENSGMOG00000006023	262	203	170	165	194	300
ENSGMOG00000006041	5075	2878	2626	2493	4181	1125
ENSGMOG00000006066	978	1208	572	727	976	153
ENSGMOG00000006097	1839	1601	2019	1427	2563	627
ENSGMOG00000006108	1	8	0	1	6	0
ENSGMOG00000006125	1	0	0	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0
ENSGMOG00000006155	220	196	112	166	48	82
ENSGMOG00000006181	2	3	0	5	10	0
ENSGMOG00000006190	2	0	0	0	2	0
ENSGMOG00000006241	990	446	372	609	820	500
ENSGMOG00000006322	213	90	72	120	141	315
ENSGMOG00000006338	224	49	31	222	426	3
ENSGMOG00000006344	1448	802	453	990	1443	496
ENSGMOG00000006403	392	384	141	108	410	37
ENSGMOG00000006419	1407	893	1081	1077	949	1156
ENSGMOG00000006429	58	20	8	9	4	11
ENSGMOG00000006458	794	474	630	519	461	974
ENSGMOG00000006474	0	0	0	0	0	0
ENSGMOG00000006494	3	4	0	0	1	0
ENSGMOG00000006502	0	0	0	0	0	0
ENSGMOG00000006511	0	0	0	0	1	3
ENSGMOG00000006521	1813	946	1496	959	1005	969
ENSGMOG00000006539	1	0	0	0	0	0
ENSGMOG00000006545	6819	4162	3395	2610	2333	172
ENSGMOG00000006599	0	2	1	0	1	0
ENSGMOG00000006609	7	2	4	3	14	6
ENSGMOG00000006616	8	5	3	16	23	0
ENSGMOG00000006625	581	356	259	402	428	1070
ENSGMOG00000006631	70	18	18	22	74	2
ENSGMOG00000006649	18	15	7	0	18	0
ENSGMOG00000006663	49	37	22	28	29	6
ENSGMOG00000006668	369	322	207	179	310	83
ENSGMOG00000006724	255	106	94	136	170	4
ENSGMOG00000006758	360	161	212	169	188	27
ENSGMOG00000006772	1469	820	1015	1283	1730	514
ENSGMOG00000006774	26	21	21	20	35	27
ENSGMOG00000006780	67	68	34	48	52	35
ENSGMOG00000006787	24	21	10	11	20	19
ENSGMOG00000006790	296	200	299	199	235	205
ENSGMOG00000006832	695	571	701	394	495	397
ENSGMOG00000007041	70	47	34	61	60	64
ENSGMOG00000007051	288	179	194	126	174	55
ENSGMOG00000007067	42	1	16	23	20	12
ENSGMOG00000007079	1276	425	574	629	986	479
ENSGMOG00000007147	1723	864	1097	865	1362	167
ENSGMOG00000007217	3	4	4	6	8	0
ENSGMOG00000007132	241	152	92	125	178	161
ENSGMOG00000007143	0	1	0	1	0	0
ENSGMOG00000007164	0	0	0	0	0	0
ENSGMOG00000007175	0	3	0	0	0	0
ENSGMOG00000007184	0	0	0	0	0	0
ENSGMOG00000007187	108	53	42	28	100	21
ENSGMOG00000007195	237	196	218	113	148	61
ENSGMOG00000007199	17747	42788	9218	16869	20017	58682
ENSGMOG00000007205	93	273	134	216	466	152
ENSGMOG00000007220	1278	699	1014	749	1013	1373
ENSGMOG00000007223	444	453	618	434	505	592
ENSGMOG00000007225	57	194	475	194	231	61
ENSGMOG00000007234	9	6	6	29	17	2
ENSGMOG00000007261	4330	3479	4062	2664	3848	372
ENSGMOG00000007291	18	31	30	12	14	1
ENSGMOG00000007296	38	51	27	25	25	2
ENSGMOG00000007304	848	2306	3893	1763	1767	758
ENSGMOG00000007312	1110	726	804	659	464	562
ENSGMOG00000007318	211	177	147	160	130	111
ENSGMOG00000007327	281	158	146	130	141	1
ENSGMOG00000007329	323	181	202	127	139	14
ENSGMOG00000007336	1529	934	823	952	850	107
ENSGMOG00000007377	7169	4545	5489	3789	5487	1067
ENSGMOG00000007396	191	165	110	110	130	147
ENSGMOG00000007400	232	77	58	134	238	3
ENSGMOG00000007412	1296	899	767	815	880	322
ENSGMOG00000007433	1469	1123	950	426	759	58
ENSGMOG00000007443	2795	1352	1878	1640	1624	1198
ENSGMOG00000007451	23	14	10	15	10	0
ENSGMOG00000007453	51	44	24	63	50	63
ENSGMOG00000007461	3562	336	1787	280	471	2284
ENSGMOG00000007472	180	92	93	99	44	43
ENSGMOG00000007485	110	47	67	108	88	44
ENSGMOG00000007497	493	287	278	420	250	229
ENSGMOG00000007507	25367	18156	14158	16676	20400	21136
ENSGMOG00000007512	428	249	267	151	253	4
ENSGMOG00000007517	3	4	2	0	2	0
ENSGMOG00000007528	1234	455	823	525	1672	1365
ENSGMOG00000007531	347	318	239	231	245	1098
ENSGMOG00000007538	61	39	3	38	77	48
ENSGMOG00000007548	0	19	1	0	1	0
ENSGMOG00000007554	10203	4783	4781	4499	3628	21215
ENSGMOG00000007559	19	21	9	13	18	12
ENSGMOG00000007566	4	7	0	12	0	3
ENSGMOG00000007576	67	42	18	39	36	76
ENSGMOG00000007594	0	1	0	0	0	0
ENSGMOG00000007597	0	0	0	0	0	0
ENSGMOG00000007601	211	170	178	79	143	124
ENSGMOG00000007617	118	31	79	57	144	19
ENSGMOG00000007621	34	5	13	9	22	14
ENSGMOG00000007628	762	857	452	771	507	200
ENSGMOG00000007641	150	104	70	101	143	12
ENSGMOG00000021556	0	2	0	0	0	0
ENSGMOG00000007646	10	14	8	2	13	2
ENSGMOG00000007651	9445	8268	13870	7433	11832	1782
ENSGMOG00000007657	3118	1641	1494	1433	2512	421
ENSGMOG00000007663	6	1	5	7	4	0
ENSGMOG00000007667	400	229	317	162	237	231
ENSGMOG00000007677	411	264	173	311	134	16
ENSGMOG00000007680	402	173	155	224	208	806
ENSGMOG00000007689	1017	658	965	705	694	748
ENSGMOG00000007694	2649	1469	1350	1361	1868	638
ENSGMOG00000007702	14176	11473	21708	6672	12389	19132
ENSGMOG00000007714	0	4	4	9	6	0
