ID	sample_1	sample_6	sample_12	sample_18	sample_25	sample_31	sample_38	sample_44
ENSGMOG00000005794	664	1491	6385	1024	2029	1072	3557	2500
ENSGMOG00000005808	384	241	713	394	820	600	1014	753
ENSGMOG00000005838	12	2	6	9	5	20	2	8
ENSGMOG00000005866	632	431	220	56	153	309	57	57
ENSGMOG00000005931	3	5	6	4	4	7	2	5
ENSGMOG00000005989	0	0	0	0	0	0	0	0
ENSGMOG00000005992	57	112	206	258	202	270	171	189
ENSGMOG00000006011	2	0	0	2	0	6	5	4
ENSGMOG00000006023	169	231	308	120	195	165	499	525
ENSGMOG00000006041	2245	2391	3288	2286	2820	4881	3226	2866
ENSGMOG00000006066	761	402	1391	550	968	1046	1139	940
ENSGMOG00000006097	2183	2616	2299	2430	1786	2311	1407	1244
ENSGMOG00000006108	0	0	0	0	5	0	4	0
ENSGMOG00000006125	4	0	0	0	0	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0	0	0
ENSGMOG00000006155	88	164	561	105	264	64	114	162
ENSGMOG00000006181	0	2	2	0	2	0	15	2
ENSGMOG00000006190	0	1	0	0	0	0	2	0
ENSGMOG00000006241	594	697	476	352	777	891	1366	1537
ENSGMOG00000006322	104	269	118	86	131	133	519	384
ENSGMOG00000006338	79	317	57	59	265	401	6	9
ENSGMOG00000006344	1000	653	1120	376	1373	1577	1713	2136
ENSGMOG00000006403	468	267	464	240	301	506	502	770
ENSGMOG00000006419	1207	1499	1132	1025	1003	1082	1431	2000
ENSGMOG00000006429	65	25	47	10	0	10	120	41
ENSGMOG00000006458	523	811	838	539	504	467	1065	1020
ENSGMOG00000006474	0	0	1	0	0	2	0	0
ENSGMOG00000006494	16	0	3	0	13	7	36	31
ENSGMOG00000006502	0	0	0	0	2	1	0	0
ENSGMOG00000006511	0	0	0	0	0	0	0	0
ENSGMOG00000006521	978	1500	1399	1175	961	1024	1810	1884
ENSGMOG00000006539	1	0	0	0	0	0	0	0
ENSGMOG00000006545	3536	667	4917	1784	4175	2418	5831	5122
ENSGMOG00000006599	1	0	0	0	2	1	0	0
ENSGMOG00000006609	12	3	8	14	27	13	1	4
ENSGMOG00000006616	11	6	15	4	12	8	15	19
ENSGMOG00000006625	315	454	348	261	400	492	1423	1382
ENSGMOG00000006631	28	46	61	31	80	62	47	50
ENSGMOG00000006649	6	8	35	3	6	16	7	6
ENSGMOG00000006663	10	3	49	4	30	17	60	30
ENSGMOG00000006668	194	159	413	202	312	360	452	441
ENSGMOG00000006724	73	21	147	89	227	144	101	116
ENSGMOG00000006758	161	70	193	171	176	183	316	249
ENSGMOG00000006772	395	1476	1164	1072	1355	1738	882	787
ENSGMOG00000006774	10	35	23	15	34	31	63	77
ENSGMOG00000006780	47	57	57	33	40	37	135	88
ENSGMOG00000006787	23	11	21	8	23	11	57	39
ENSGMOG00000006790	258	257	294	240	182	202	466	468
ENSGMOG00000006832	533	518	619	551	448	447	1016	991
ENSGMOG00000007041	74	62	118	29	83	89	190	68
