ID	sample_3	sample_8	sample_14	sample_20	sample_27	sample_33	sample_39
ENSGMOG00000007205	119	189	430	250	367	565	582
ENSGMOG00000007220	1487	1359	880	1321	1225	872	2402
ENSGMOG00000007223	559	500	591	956	797	495	3048
ENSGMOG00000007225	85	80	258	527	269	180	75
ENSGMOG00000007234	22	9	10	16	47	22	13
ENSGMOG00000007261	3410	3382	3679	4652	5181	3405	2143
ENSGMOG00000007291	19	28	25	40	31	11	63
ENSGMOG00000007296	25	17	55	22	48	32	48
ENSGMOG00000007304	297	959	3676	5413	3527	1675	1320
ENSGMOG00000007312	992	737	1119	1091	1230	419	1516
ENSGMOG00000007318	227	244	227	210	276	108	549
ENSGMOG00000007327	96	237	149	75	268	152	7
ENSGMOG00000007329	136	265	160	126	225	105	6
ENSGMOG00000007336	1096	975	1001	627	1639	778	187
ENSGMOG00000007377	4659	5210	5840	7444	6932	5056	3900
ENSGMOG00000007396	224	130	180	142	262	85	568
ENSGMOG00000007400	102	154	94	93	273	255	4
ENSGMOG00000007412	873	1019	984	514	1281	770	190
ENSGMOG00000007433	3769	1352	1040	1170	917	785	628
ENSGMOG00000007443	3718	2511	1728	2570	2876	1461	4290
ENSGMOG00000007451	30	15	20	38	44	20	2
ENSGMOG00000007453	67	57	65	40	74	33	176
ENSGMOG00000007461	2740	1645	1077	2415	1526	536	5513
ENSGMOG00000007472	132	116	170	92	136	72	58
ENSGMOG00000007485	82	118	99	96	185	51	101
ENSGMOG00000007497	416	416	449	291	619	219	294
ENSGMOG00000007507	27474	23444	22143	16838	26930	18778	20694
ENSGMOG00000007512	421	390	293	193	391	242	16
ENSGMOG00000007517	4	2	14	1	0	0	1
ENSGMOG00000007528	2568	2271	365	1287	1345	1425	5974
ENSGMOG00000007531	342	420	342	313	498	220	1132
ENSGMOG00000007538	49	59	56	16	74	51	26
ENSGMOG00000007548	3	0	1	0	0	0	0
ENSGMOG00000007554	10120	9153	6599	7823	7642	3982	27601
ENSGMOG00000007559	17	7	24	3	42	10	7
ENSGMOG00000007566	0	9	16	3	24	1	4
ENSGMOG00000007576	43	62	49	32	43	16	37
ENSGMOG00000007594	1	2	4	5	2	0	4
ENSGMOG00000007597	0	0	1	0	0	0	0
ENSGMOG00000007601	258	217	150	204	135	139	248
ENSGMOG00000007617	81	108	59	114	152	115	48
ENSGMOG00000007621	19	14	9	8	15	36	20
ENSGMOG00000007628	457	593	1092	389	992	404	376
ENSGMOG00000007641	111	94	124	56	148	144	67
ENSGMOG00000021556	0	0	0	0	1	0	0
ENSGMOG00000007646	26	5	9	4	5	3	0
ENSGMOG00000007651	9240	10310	9901	15866	8565	8284	3597
ENSGMOG00000007657	1822	2259	2211	1792	3278	2197	1219
ENSGMOG00000007663	5	5	0	0	23	7	0
ENSGMOG00000007667	283	317	248	330	386	194	484
ENSGMOG00000007677	134	267	414	149	579	138	37
ENSGMOG00000007680	380	305	252	253	475	226	1078
ENSGMOG00000007689	1093	960	855	1360	1292	614	3054
ENSGMOG00000007694	2221	1973	1927	1767	1972	1636	2343
ENSGMOG00000007702	32595	17294	13107	19780	9463	11980	28057
ENSGMOG00000007714	1	1	10	0	4	5	1
ENSGMOG00000007718	7	25	11	3	24	11	7
ENSGMOG00000007722	0	0	0	0	2	4	0
ENSGMOG00000007727	335	336	446	202	350	297	141
ENSGMOG00000007739	0	0	1	0	0	2	0
ENSGMOG00000007745	1	4	1	0	0	0	4
ENSGMOG00000007751	161	207	66	93	173	140	239
ENSGMOG00000007767	14	36	57	11	54	71	0
ENSGMOG00000007776	21	26	46	1	15	11	39
ENSGMOG00000020617	11	31	14	1	18	26	2
ENSGMOG00000007780	220	230	108	255	221	519	282
ENSGMOG00000007782	42	52	33	17	79	31	52
ENSGMOG00000007785	38	42	32	17	57	20	24
ENSGMOG00000007790	2997	2560	1139	1261	3261	3045	152
ENSGMOG00000007807	505	476	480	464	509	255	1222
ENSGMOG00000007813	0	0	0	0	0	0	0
ENSGMOG00000007818	646	557	1149	643	380	343	168
ENSGMOG00000007822	1369	1424	1013	355	1784	1982	16
ENSGMOG00000020344	1330	1611	1081	1870	1773	1153	2499
ENSGMOG00000007827	6	14	14	18	6	4	28
ENSGMOG00000007829	192	243	202	322	244	127	617
ENSGMOG00000007833	88	159	146	64	152	90	229
ENSGMOG00000007839	7	9	10	7	0	7	1
ENSGMOG00000007843	233	317	172	529	510	260	102
ENSGMOG00000007854	1	0	0	0	0	0	0
ENSGMOG00000007860	1095	1497	634	690	1351	490	1328
ENSGMOG00000007871	357	463	548	729	660	436	198
ENSGMOG00000007878	271	352	426	262	534	498	359
ENSGMOG00000007885	969	1269	1505	982	2449	871	1017
ENSGMOG00000007894	27	42	99	919	90	43	1
ENSGMOG00000012282	2325	1870	1731	1450	3121	2048	571
ENSGMOG00000012286	49	30	24	11	47	14	23
ENSGMOG00000012289	43	67	22	39	95	21	16
ENSGMOG00000012292	1740	1517	1398	1862	2045	1298	6423
ENSGMOG00000012295	77	84	0	115	11	175	0
ENSGMOG00000020594	80	71	0	81	0	208	1
ENSGMOG00000012298	74	64	3	68	0	158	0
ENSGMOG00000012300	0	2	0	0	0	0	0
ENSGMOG00000012316	350	466	493	309	647	375	114
ENSGMOG00000012319	199	379	296	675	974	983	258
ENSGMOG00000012321	154	53	73	10	62	49	3
ENSGMOG00000012323	2278	967	1435	427	903	550	39
ENSGMOG00000012334	832	747	673	922	940	461	1149
ENSGMOG00000012335	840	958	894	832	735	409	673
ENSGMOG00000012339	6	5	4	6	3	7	0
ENSGMOG00000012345	440	592	373	524	970	380	1360
ENSGMOG00000012349	1347	1141	1163	1112	1633	1047	2679
ENSGMOG00000012351	1058	1659	1482	994	2416	1831	228
ENSGMOG00000012363	65	92	28	28	39	40	53
ENSGMOG00000012366	738	782	739	720	1178	512	634
ENSGMOG00000012371	1196	1228	1082	1588	1750	809	2672
ENSGMOG00000012374	3480	3632	3298	3260	4543	2683	1801
ENSGMOG00000012378	1	10	1	0	8	1	1
ENSGMOG00000012382	450	474	462	319	616	336	993
ENSGMOG00000012383	6802	5555	3751	1623	4020	2656	719
ENSGMOG00000012390	7	10	13	9	0	11	0
ENSGMOG00000012401	894	1119	689	817	1307	939	310
ENSGMOG00000012404	9	18	17	10	53	42	38
ENSGMOG00000012405	258	298	159	299	745	353	11
ENSGMOG00000012409	549	1025	619	311	1320	658	83
ENSGMOG00000012417	3	16	6	11	16	2	2
ENSGMOG00000012423	0	0	0	0	3	0	0
ENSGMOG00000012426	560	111	444	78	61	59	97
ENSGMOG00000012440	125	36	40	176	42	39	50
ENSGMOG00000012442	0	3	0	0	0	0	0
ENSGMOG00000012445	47	43	13	14	52	20	2
ENSGMOG00000012452	845	862	780	1018	1116	656	928
ENSGMOG00000012456	211	225	252	101	243	155	103
ENSGMOG00000012461	1910	1594	1338	1768	1667	1038	3092
ENSGMOG00000012463	1277	1412	659	2208	1043	936	1445
ENSGMOG00000012465	4005	3295	2012	3594	2385	1318	4990
ENSGMOG00000012467	62	76	60	119	103	34	302
ENSGMOG00000012470	2	1	2	5	9	1	10
ENSGMOG00000012471	3037	2298	1697	683	2171	1575	82
ENSGMOG00000012476	1169	1399	1260	909	1587	794	226
ENSGMOG00000012479	2	8	0	6	10	3	6
ENSGMOG00000012482	0	3	0	0	6	3	0
ENSGMOG00000012485	2	0	0	0	3	2	1
ENSGMOG00000012487	8	12	11	0	14	1	1
ENSGMOG00000012489	1106	1013	728	791	928	639	352
ENSGMOG00000012492	28996	28594	20192	33205	37845	21870	116470
ENSGMOG00000012494	1915	2035	2914	1075	3330	3813	2284
ENSGMOG00000012498	862	805	679	625	856	403	1333
ENSGMOG00000012500	2397	1357	864	1716	2388	714	1144
ENSGMOG00000012502	1181	943	868	706	1329	617	57
ENSGMOG00000012507	6697	7116	10366	7452	10116	4598	1897
ENSGMOG00000012510	0	0	1	0	0	0	0
ENSGMOG00000012512	361	166	242	144	181	119	131
ENSGMOG00000012513	6831	3651	2935	1836	2457	2306	2685
ENSGMOG00000012514	0	2	5	3	1	4	0
ENSGMOG00000020725	0	0	0	0	0	0	0
ENSGMOG00000021692	10	20	23	20	35	7	32
ENSGMOG00000020595	4	11	14	23	16	11	21
ENSGMOG00000012516	1093	791	1039	460	1282	529	155
ENSGMOG00000012521	1106	776	871	635	976	514	529
ENSGMOG00000012522	1070	1378	1212	472	1551	907	106
ENSGMOG00000012526	0	2	1	0	0	0	0
ENSGMOG00000012527	560	315	506	394	353	196	107
ENSGMOG00000012529	1487	1698	1259	933	2890	2556	667
ENSGMOG00000012530	5134	5904	3253	4824	6163	5392	3119
ENSGMOG00000012532	2433	2506	1593	1923	2506	1793	1447
ENSGMOG00000012534	491	883	481	592	1080	719	13
ENSGMOG00000012537	242	190	158	196	482	371	347
