ID	sample_5	sample_16	sample_22	sample_28	sample_35	sample_48
ENSGMOG00000007051	154	150	167	244	281	202
ENSGMOG00000007067	15	0	45	23	32	5
ENSGMOG00000007079	551	606	740	687	1028	656
ENSGMOG00000007147	1322	1054	1481	1042	1813	1355
ENSGMOG00000007217	1	4	6	2	4	7
ENSGMOG00000007132	146	232	141	140	164	343
ENSGMOG00000007143	6	1	1	0	2	6
ENSGMOG00000007164	0	0	0	0	0	0
ENSGMOG00000007175	0	2	1	3	0	5
ENSGMOG00000007184	0	0	0	0	0	0
ENSGMOG00000007187	48	48	47	46	86	93
ENSGMOG00000007195	563	272	253	234	210	266
ENSGMOG00000007199	59309	51891	12454	23134	24340	77353
ENSGMOG00000007205	99	395	175	248	499	217
ENSGMOG00000007220	1059	912	1283	749	1062	1237
ENSGMOG00000007223	581	648	646	491	517	916
ENSGMOG00000007225	102	279	446	190	171	106
ENSGMOG00000007234	32	18	9	33	21	27
ENSGMOG00000007261	3551	4074	4533	4235	4940	5818
ENSGMOG00000007291	38	35	45	28	14	27
ENSGMOG00000007296	34	45	39	34	37	58
ENSGMOG00000007304	1001	2328	3911	2763	1901	2503
ENSGMOG00000007312	1273	1179	821	921	532	1015
ENSGMOG00000007318	235	227	141	221	155	357
ENSGMOG00000007327	103	169	152	205	187	398
ENSGMOG00000007329	149	191	163	204	191	427
ENSGMOG00000007336	1682	1364	884	1400	1231	2765
ENSGMOG00000007377	4164	6250	6937	4513	6020	4433
ENSGMOG00000007396	223	187	134	135	107	447
ENSGMOG00000007400	114	99	101	201	301	109
ENSGMOG00000007412	1343	1380	1039	959	864	2199
ENSGMOG00000007433	5031	1076	1483	684	1077	2325
ENSGMOG00000007443	3530	2032	1952	1891	1895	3073
ENSGMOG00000007451	14	9	15	10	22	8
ENSGMOG00000007453	108	48	24	56	56	147
ENSGMOG00000007461	2350	762	1296	672	569	3278
ENSGMOG00000007472	89	186	95	105	75	119
ENSGMOG00000007485	60	129	82	156	47	51
ENSGMOG00000007497	315	427	296	481	335	481
ENSGMOG00000007507	24321	24946	16283	18878	23271	31547
ENSGMOG00000007512	507	302	369	264	437	397
ENSGMOG00000007517	4	1	0	2	0	3
ENSGMOG00000007528	2542	241	1318	788	1493	4002
ENSGMOG00000007531	347	366	211	330	234	708
ENSGMOG00000007538	91	61	34	64	77	79
ENSGMOG00000007548	1	2	0	1	0	0
ENSGMOG00000007554	6526	6647	5851	5405	4277	10150
ENSGMOG00000007559	13	35	8	15	10	7
ENSGMOG00000007566	9	15	5	23	3	14
ENSGMOG00000007576	60	73	15	25	27	150
ENSGMOG00000007594	0	0	1	0	3	0
ENSGMOG00000007597	0	0	0	0	0	0
ENSGMOG00000007601	202	216	176	113	100	182
ENSGMOG00000007617	71	57	119	70	110	67
ENSGMOG00000007621	15	20	4	14	43	16
ENSGMOG00000007628	565	1337	366	865	463	947
ENSGMOG00000007641	93	156	92	142	161	220
ENSGMOG00000021556	1	0	0	0	0	0
ENSGMOG00000007646	20	3	7	5	2	10
ENSGMOG00000007651	5835	7622	12820	7745	16347	2442
ENSGMOG00000007657	2046	2383	1742	2072	3095	3033
ENSGMOG00000007663	8	1	4	6	4	0
ENSGMOG00000007667	297	282	296	279	266	499
ENSGMOG00000007677	243	374	196	336	206	711
ENSGMOG00000007680	334	260	166	377	239	838
ENSGMOG00000007689	1149	929	1095	1030	865	1496
ENSGMOG00000007694	1743	2153	1777	1510	2773	1851
ENSGMOG00000007702	26396	14994	19711	7252	14029	24588
ENSGMOG00000007714	4	0	1	9	5	0
ENSGMOG00000007718	7	30	4	37	30	14
ENSGMOG00000007722	0	0	0	1	4	0
ENSGMOG00000007727	412	526	301	290	433	1113
ENSGMOG00000007739	0	0	0	3	0	0
ENSGMOG00000007745	0	0	3	2	3	7
ENSGMOG00000007751	121	118	106	118	165	499
ENSGMOG00000007767	15	77	22	29	64	46
ENSGMOG00000007776	25	30	17	8	44	24
ENSGMOG00000020617	19	5	16	17	14	10
ENSGMOG00000007780	141	117	172	199	424	215
ENSGMOG00000007782	44	51	18	65	49	72
ENSGMOG00000007785	53	41	21	20	30	62
ENSGMOG00000007790	2358	1500	1833	2276	4098	1871
ENSGMOG00000007807	476	479	394	423	299	1056
ENSGMOG00000007813	0	0	0	0	3	0
ENSGMOG00000007818	594	1156	882	514	474	391
ENSGMOG00000007822	857	1038	672	1085	2891	337
ENSGMOG00000020344	1067	1064	1453	1157	1403	1046
ENSGMOG00000007827	12	16	17	1	4	13
ENSGMOG00000007829	213	250	218	206	113	376
ENSGMOG00000007833	106	173	68	130	81	215
ENSGMOG00000007839	6	2	0	19	12	0
ENSGMOG00000007843	202	166	538	275	283	171
ENSGMOG00000007854	0	0	0	1	0	2
ENSGMOG00000007860	1157	728	772	1081	835	1932
ENSGMOG00000007871	413	571	641	450	657	588
ENSGMOG00000007878	228	339	236	377	502	412
ENSGMOG00000007885	1385	1897	964	1915	1001	1150
ENSGMOG00000007894	45	101	1157	55	73	57
ENSGMOG00000012282	3331	2067	2972	2167	3554	4566
ENSGMOG00000012286	63	35	25	48	29	56
ENSGMOG00000012289	66	27	31	92	33	66
ENSGMOG00000012292	1389	1470	1330	1395	1385	2572
ENSGMOG00000012295	114	0	107	0	281	0
ENSGMOG00000020594	76	2	104	0	239	1
ENSGMOG00000012298	68	1	70	3	150	2
ENSGMOG00000012300	0	0	0	0	0	0
ENSGMOG00000012316	409	530	366	400	505	564
ENSGMOG00000012319	213	356	721	670	946	628
ENSGMOG00000012321	465	170	63	60	52	61
ENSGMOG00000012323	4505	2453	829	805	727	823
ENSGMOG00000012334	1040	674	640	703	615	1218
ENSGMOG00000012335	912	932	812	598	660	1095
ENSGMOG00000012339	1	5	2	5	8	6
ENSGMOG00000012345	645	280	521	785	471	10894
ENSGMOG00000012349	1294	1434	907	1207	1046	1701
ENSGMOG00000012351	1621	1940	1633	2288	2445	3903
ENSGMOG00000012363	44	17	35	46	44	65
ENSGMOG00000012366	1187	985	793	881	731	2462
ENSGMOG00000012371	1180	1186	1236	1223	998	1387
ENSGMOG00000012374	3305	3600	3286	3307	3244	3800
ENSGMOG00000012378	4	9	6	1	6	1
ENSGMOG00000012382	432	595	276	454	433	1389
ENSGMOG00000012383	5565	4132	2536	3191	4699	5623
ENSGMOG00000012390	15	3	3	20	3	10
ENSGMOG00000012401	583	547	919	849	1032	405
ENSGMOG00000012404	15	24	2	49	25	13
ENSGMOG00000012405	185	177	456	516	399	196
ENSGMOG00000012409	645	735	648	1074	992	1186
ENSGMOG00000012417	7	15	6	15	5	7
ENSGMOG00000012423	0	0	0	0	0	0
ENSGMOG00000012426	630	426	92	59	77	914
ENSGMOG00000012440	76	85	146	31	40	12
ENSGMOG00000012442	0	2	0	0	0	5
ENSGMOG00000012445	55	37	21	23	29	25
ENSGMOG00000012452	1272	974	1123	846	968	1844
ENSGMOG00000012456	241	191	178	168	219	700
ENSGMOG00000012461	1719	1485	1498	1175	1196	2270
