"","logFC","logCPM","LR","PValue"
"ENSGMOG00000000073",0.422349260384258,0.327953504889795,0.813994881749881,0.366941792341513
"ENSGMOG00000000075",-0.0816795326889797,7.07244382938142,0.49625649549437,0.481149620024919
"ENSGMOG00000000077",-1.06579013669955,2.37963307262906,6.04539185086892,0.0139426382631587
"ENSGMOG00000000080",0.117943567235521,2.46077740693416,0.14170389844481,0.706592948263133
"ENSGMOG00000000082",0.0291311558341597,5.10592246095485,0.0337307792737995,0.854280652462048
"ENSGMOG00000000083",-0.116396863025001,5.26673876370736,1.04232948987875,0.30728031244903
"ENSGMOG00000000084",0.149911348381214,4.49802466318447,0.931119213826045,0.334572266852018
"ENSGMOG00000000085",-0.416003846533843,5.57607942442572,11.4267422902036,0.000723945067187489
"ENSGMOG00000000086",-0.220676446007094,4.27134991247778,1.43137103195688,0.23154081563561
"ENSGMOG00000000088",-1.2565065021615,3.24642045546584,5.53980309269231,0.0185886741488064
"ENSGMOG00000000089",0.293927717286994,-0.438481764933325,0.78495027607865,0.375631432217493
"ENSGMOG00000000090",-0.113410925542353,6.72354101671437,0.653230558546944,0.418960033098184
"ENSGMOG00000000091",0.29068980949068,0.445804380358912,0.778867961669745,0.377487581072108
"ENSGMOG00000000092",0.501273630957462,-0.206602529322265,1.03662011264618,0.308608849214166
"ENSGMOG00000000093",-0.0682522956619806,4.02423986075985,0.142728397374829,0.705583541869777
"ENSGMOG00000000094",-0.339758020070999,1.49994709677978,1.14460718573463,0.284680906654484
"ENSGMOG00000000095",0.114774393293979,5.64132244803165,0.387954319247051,0.533376663020582
"ENSGMOG00000000096",-0.259115495815819,5.87455816478667,6.01434921350455,0.0141900105815663
"ENSGMOG00000000097",0.266100497395369,0.283329237926825,0.299936048350622,0.58392251548311
"ENSGMOG00000000098",0.109710956245269,0.00132760623376926,0.0521391077848339,0.819382011692922
"ENSGMOG00000000099",-0.166975421104892,4.50773649241968,1.34380377967462,0.246364276359873
"ENSGMOG00000000100",-0.130839346546369,5.98181054543487,1.52035669450522,0.217565522716821
"ENSGMOG00000000101",0.0166692028734662,2.75377149442486,0.0063196952732838,0.936637706590129
"ENSGMOG00000000103",0.152601254687427,3.05639085717128,0.529956343784188,0.466625214038822
"ENSGMOG00000000104",-0.0750043892633666,3.84387454661969,0.171083943482779,0.679150264123261
"ENSGMOG00000000107",-0.913999343694607,0.674846919564968,3.45805665157743,0.062944252518054
"ENSGMOG00000000111",-0.170812745788683,3.54351367041679,0.820794203952024,0.364948061574859
"ENSGMOG00000000112",-0.0810665131704772,5.65589667460124,0.59967929008706,0.438700417606707
"ENSGMOG00000000113",-0.258541264571356,10.5695196082892,2.97431334781483,0.0845960183689508
"ENSGMOG00000000114",0.559367122814467,6.52379915035849,4.74198518846859,0.0294350865327876
"ENSGMOG00000000115",-0.10329242544909,11.5026315202493,0.551281618744056,0.457794497796649
"ENSGMOG00000000116",0.358463053901457,4.35833553647373,3.79460936566125,0.0514178696719437
"ENSGMOG00000000117",0.484426071320238,4.12146045044781,2.74493259777762,0.0975631911012404
"ENSGMOG00000000118",0.311464396017489,5.92844590004448,6.42665265021753,0.0112420253437781
"ENSGMOG00000000120",0.0735163207660107,0.649635819956016,0.0497427332930629,0.823511543022395
"ENSGMOG00000000123",0.934869007691189,1.05231140021377,6.84103233599539,0.00890873414146543
"ENSGMOG00000000125",0.366351358336718,6.31605051279008,1.15836696418248,0.281804475300213
"ENSGMOG00000000126",0.704202348541025,1.01428800856884,3.37184164652427,0.0663195805635851
"ENSGMOG00000000127",0.133666973176063,6.08823107974628,0.976038998557868,0.323178674021472
"ENSGMOG00000000128",0.277831077972702,3.89924342980284,1.30092272490514,0.254044746068238
"ENSGMOG00000000129",-0.0911078219874636,1.60210541062743,0.117119245704981,0.732180148729989
"ENSGMOG00000000131",0.114773323684467,4.00697751274526,0.501682667188677,0.478761704460468
"ENSGMOG00000000132",0.183954423758409,-0.570504295082897,0.169658284943348,0.680415679343637
"ENSGMOG00000000133",-0.0436426120183174,9.84167066838761,0.0884218841058555,0.766193071929244
"ENSGMOG00000000135",0.00342728459167658,5.21908037427635,0.000494787379860639,0.982253465581326
"ENSGMOG00000000136",-0.229431537490057,3.94728843704768,1.50376721879506,0.220092622420537
"ENSGMOG00000000137",0.800220582137891,0.441265804788949,4.02054703433854,0.0449491319262228
