,sample_1,sample_2,sample_3
ENSGMOG00000000297,9.408117422,10.28834714,8.99325322
ENSGMOG00000000298,12.30464999,12.42927487,13.90235235
ENSGMOG00000000299,0,0.019823405,0.027047378
ENSGMOG00000000300,0,0,0
ENSGMOG00000000301,189.3074892,205.0731237,191.711816
ENSGMOG00000000302,2.694448904,2.537395827,2.894069457
ENSGMOG00000000303,14.66229278,21.31016027,16.22842686
ENSGMOG00000000304,0.022453741,0.059470215,0.067618445
ENSGMOG00000000305,0,0,0
ENSGMOG00000000306,0.022453741,0.019823405,0
ENSGMOG00000000307,0,0,0
ENSGMOG00000000308,25.64217207,31.38044996,27.68299149
ENSGMOG00000000309,8.30788412,6.720134261,8.087166054
ENSGMOG00000000310,48.1857279,54.91083157,49.02337282
ENSGMOG00000000311,0,0,0.013523689
ENSGMOG00000000312,42.39266275,41.13356517,41.51772539
ENSGMOG00000000313,0,0,0
ENSGMOG00000000314,0.022453741,0.07929362,0.162284269
ENSGMOG00000000315,0.26944489,0.277527669,0.28399747
ENSGMOG00000000316,21.2636926,23.72861566,18.79792778
ENSGMOG00000000317,17.24447298,14.21338131,16.98575345
ENSGMOG00000000318,48.34290408,70.3929108,55.04141445
ENSGMOG00000000319,1.122687043,1.94269368,1.649890065
ENSGMOG00000000320,22.16184223,13.81691321,22.78741605
ENSGMOG00000000321,89.3434349,90.41454975,86.74094159
ENSGMOG00000000322,0.763427189,0.911876625,0.676184453
ENSGMOG00000000323,21.42086878,23.29250076,24.54549563
ENSGMOG00000000324,10.9349718,10.5064046,10.30505106
ENSGMOG00000000325,31.43523721,32.05444572,31.3749586
ENSGMOG00000000326,531.3228701,441.7447548,528.9250026
ENSGMOG00000000327,3.345607389,2.537395827,2.461311408
ENSGMOG00000000328,22.18429597,22.32115392,20.71829163
ENSGMOG00000000329,0.224537409,0.237880859,0.297521159
ENSGMOG00000000330,27.34865637,26.95983066,26.24948045
ENSGMOG00000000331,93.29529329,108.6719057,97.2218006
ENSGMOG00000000332,0.134722445,0.099117024,0.189331647
ENSGMOG00000000333,0.179629927,0.297351073,0.229902714
ENSGMOG00000000334,0.044907482,0.07929362,0.054094756
ENSGMOG00000000335,27.640555,22.2616837,26.58757268
ENSGMOG00000000336,2.290281568,1.466931963,2.096171803
ENSGMOG00000000337,12.32710373,11.41828122,12.77988616
ENSGMOG00000000338,14.55002408,12.33015785,14.70025
ENSGMOG00000000339,0.179629927,0.158587239,0.256950092
ENSGMOG00000000340,12.01275136,16.29483883,11.37342249
ENSGMOG00000000341,9.520386127,9.297176898,9.155537489
ENSGMOG00000000342,31.32296851,32.03462232,30.80696366
ENSGMOG00000000343,0.112268704,0.317174478,0.256950092
ENSGMOG00000000344,0.291898631,0.03964681,0.256950092
ENSGMOG00000000345,0.067361223,0,0
ENSGMOG00000000346,0.740973449,0.852406411,0.784373965
ENSGMOG00000000347,15.26854379,11.97333656,17.40498781
ENSGMOG00000000348,2.829171349,3.03298095,3.015782659
ENSGMOG00000000349,7.79144808,7.85006834,9.047347977
ENSGMOG00000000350,51.4864278,60.38209132,54.09475621
ENSGMOG00000000351,0.26944489,0.218057454,0.256950092
ENSGMOG00000000352,17.62618658,16.13625159,20.136773
ENSGMOG00000000353,50.29637954,49.69727608,53.1210506
ENSGMOG00000000354,25.12573603,23.80790928,24.85654048
ENSGMOG00000000355,62.39894586,123.3808721,86.68684683
ENSGMOG00000000356,7.028020891,7.314836408,7.681455382
ENSGMOG00000000357,19.24285592,18.83223465,21.2457155
ENSGMOG00000000358,23.62133539,21.80574539,23.36893468
ENSGMOG00000000359,1.459493156,1.248874509,1.068371435
ENSGMOG00000000360,36.41996768,27.47523919,34.68826242
ENSGMOG00000000361,0.426621076,0.218057454,0.202855336
ENSGMOG00000000362,22.58846331,23.60967524,23.07141353
ENSGMOG00000000363,112.7402329,114.9757484,108.3247493
ENSGMOG00000000364,10.59816569,14.45126217,12.90159936
ENSGMOG00000000365,18.7937811,20.87404536,15.91738202
ENSGMOG00000000366,16.34632335,15.62084306,16.01204784
ENSGMOG00000000367,0.134722445,0,0.054094756
ENSGMOG00000000368,13.44979078,12.36980466,12.34712811
ENSGMOG00000000369,21.15142389,18.81241125,22.12475529
