	sample_13	sample_14	sample_15
ENSGMOG00000000242	29.17229644	32.09195352	32.15539973
ENSGMOG00000000243	336.8459471	309.3229447	318.7796548
ENSGMOG00000000244	23.64634139	25.91113185	23.71677475
ENSGMOG00000000245	1.949339972	2.41595635	2.196354445
ENSGMOG00000000246	118.6385258	104.4699792	107.5443027
ENSGMOG00000000247	37.98670327	37.68891906	33.42697335
ENSGMOG00000000248	86.73715335	77.57233181	75.29257168
ENSGMOG00000000249	24.03620939	25.24674386	22.61859753
ENSGMOG00000000250	145.4716142	145.4808382	144.574068
ENSGMOG00000000251	123.7237605	126.3746501	128.0243446
ENSGMOG00000000252	9.085619346	8.194118621	8.978080451
ENSGMOG00000000253	18.27294339	20.07257068	18.36075251
ENSGMOG00000000254	24.86679773	24.07903162	27.82048964
ENSGMOG00000000255	24.15486487	20.33429928	19.80572254
ENSGMOG00000000256	0	0	0.057798801
ENSGMOG00000000257	15.45911351	14.13334465	14.10290749
ENSGMOG00000000258	33.46084438	38.41370597	38.26280639
ENSGMOG00000000259	1.135702418	1.731435384	1.907360439
ENSGMOG00000000260	172.8979801	179.2840941	176.7680003
ENSGMOG00000000261	4.356351067	4.429253309	3.063336463
ENSGMOG00000000262	14.15390327	18.32100232	18.72681159
ENSGMOG00000000263	0.5763266	1.207978175	0.346792807
ENSGMOG00000000264	95.11083983	98.20862563	87.66151514
ENSGMOG00000000265	0.339015647	0.644255027	0.404591608
ENSGMOG00000000266	204.8502048	198.0278888	193.7993804
ENSGMOG00000000267	130.4532211	134.7902314	127.3692916
ENSGMOG00000000268	57.48010299	61.4256902	60.61167618
ENSGMOG00000000269	1.57642276	1.46970678	1.078910956
ENSGMOG00000000270	5.339496444	4.550051126	4.411975157
ENSGMOG00000000271	13.89964154	15.18025907	14.93135697
ENSGMOG00000000272	0.033901565	0	0.057798801
ENSGMOG00000000273	80.39756074	93.47737778	100.6084466
ENSGMOG00000000274	23.10391636	23.51530847	22.23327219
ENSGMOG00000000275	0.796686771	0.96638254	0.732118148
ENSGMOG00000000276	2.051044666	2.174360715	2.331218315
ENSGMOG00000000277	23.44293201	21.15975103	21.71308298
ENSGMOG00000000278	156.1167056	174.4521814	178.2515029
ENSGMOG00000000279	0.220360171	0.201329696	0.346792807
ENSGMOG00000000280	0.322064865	0.48319127	0.366059074
ENSGMOG00000000281	0.067803129	0.140930787	0.154130137
ENSGMOG00000000282	1.627275107	1.369041932	1.387171229
